"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"1","Mumbai","1123891","1102339","19651","1901"
"2","Thane","794107","781383","11949","775"
"3","Palghar","167057","163472","3418","167"
"4","Raigad","252645","247397","4958","290"
"5","Ratnagiri","85138","82511","2552","75"
"6","Sindhudurg","57678","56070","1536","72"
"7","Pune","1487798","1463371","20572","3855"
"8","Satara","279598","272643","6737","218"
"9","Sangli","228099","222217","5666","216"
"10","Kolhapur","221126","215066","5911","149"
"11","Solapur","228668","222579","5887","202"
"12","Nashik","476380","466862","8916","602"
"13","Ahmednagar","379601","371916","7245","440"
"14","Jalgaon","150061","147247","2762","52"
"15","Nandurbar","46812","45809","963","40"
"16","Dhule","51272","50485","670","117"
"17","Aurangabad","178189","173641","4288","260"
"18","Jalna","67308","65966","1224","118"
"19","Beed","109533","106593","2885","55"
"20","Latur","105799","103105","2489","205"
"21","Parbhani","58709","57397","1279","33"
"22","Hingoli","22389","21837","515","37"
"23","Nanded","103031","100252","2704","75"
"24","Osmanabad","76029","73687","2139","203"
