"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","12,540"
"2","Number of persons tested positive today in Tamil Nadu","1,089"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE - 1"
"","Total","1,090"
"3","Total Number of persons tested positive till date","26,97,418"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,20,376/ 
5,05,44,014@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,19,934/ 
4,96,22,733"
"6","No. of Male / Female / Transgender tested positive today","633/457/0"
"7","No. of Male / Female / Transgender tested positive till date","15,74,270/11,23,110/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","306 (69 Govt+ 
237 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,326/ 
26,48,830"
"10","Total number of deaths today/ till date","15(5 Private &  
10 Govt) /36,048)"
