District,Recovered,Deceased,Active
लखनऊ,264670,2661,14638
गौतम बिु नगर,86871,473,5201
गाज़ियाबाद,76657,468,3678
कानपरु नगर,85818,1913,3479
मरेठ,82665,919,3327
िाराणसी,91405,977,2873
झाँसी,38384,664,2567
प्रयागराज,82003,1094,2442
आगरा,32431,460,1820
गोरखपरु,62450,853,1743
मजुफ्फरनगर,35492,272,1723
बरेली,46980,377,1662
सहारनपरु,36150,423,1415
बलुदंशहर,23557,247,1412
लखीमपरु-खीरी,25576,297,1382
राय बरेली,17950,345,1255
मरुादाबाद,44101,359,1182
बाराबंकी,21428,225,1069
हरदोई,14857,353,1046
शामली,14885,47,985
बदाय,16022,101,955
अलीगढ,23860,111,935
शाहजहांपरु,21519,445,934
सीतापुर,13302,186,889
बबजनौर,16397,126,876
इटावा,14408,295,856
अमरोहा,17731,205,824
एटा,10707,100,749
सलु्तानपरु,15546,141,728
गाजीपरु,22453,285,671
मथुरा,24167,405,653
जालौन,11887,204,628
बहराइच,11998,178,616
हापड़ु,14021,218,616
गोंडा,12861,273,614
फरु्रखाबाद,10783,195,606
सिद्धार्थ,9890,101,594
सोनभद्र,17382,253,587
पीलीभीत,11292,195,572
देवरिया,20722,225,566
आजमगढ़,18183,231,562
कन्नौज,9464,116,538
जौनपरु,23036,239,515
