"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4495","4103","10","4","378"
"Bageshwar","2087","2000","1","0","86"
"Chamoli","3195","3078","8","3","106"
"Champawat","1902","1858","23","1","20"
"Dehradun","32788","32181","71","173","363"
"Haridwar","12972","12663","51","24","234"
"Nainital","11294","11201","27","29","37"
"Pauri Garhwal","5256","4236","34","18","968"
"Pithoragarh","2556","2389","29","4","134"
"Rudraprayag","2698","2567","3","2","126"
"Tehri Garhwal","2348","2017","2","5","324"
"U.S. Nagar","8778","8478","29","5","266"
"Uttarkashi","1636","1461","2","5","168"
"Total","92005","88232","290","273","3210"
