"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","57","122","726"
"Kollam","50","38","143"
"Pathanamthitta","37","53","179"
"Alappuzha","17","5","81"
"Kottayam","69","91","717"
"Idukki","30","72","461"
"Ernakulam","119","193","1197"
"Thrissur","37","62","315"
"Palakkad","18","5","46"
"Malappuram","12","26","240"
"Kozhikode","61","73","419"
"Wayanad","9","16","160"
"Kannur","33","13","78"
"Kasaragod","9","4","40"
"Total","558","773","4802"
