"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 05-09-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","53","310","299321","","297988 [119] ↑  99.55%","1023","147","346","1250","5681654"
"2","Faridabad","17","101","135461","134619 [23] ↑","99.38%","741","14","21","80","4169909"
"3  Hisar","","4","41","63767","62547 [22] ↑","98.09%","1179","575","620","935","2427640"
"4","Sonipat","2","28","59539","59235 [7] ↑","99.49%","276","35","184","238","2352032"
"5","Karnal","5","21","49836","49215","98.75%","600","29","160","529","2457856"
"6","Panchkula","2","45","48227","47762 [21] ↑","99.04%","420","4","26","67","1175394"
"7","Ambala","9","57","42743","42144 [11] ↑","98.60%","542","11","57","108","2202302"
"8","Panipat","2","22","36718","36019 [9] ↑","98.10%","677","29","127","491","2125396"
"9","Sirsa","7","24","34166","33596 [4] ↑","98.33%","546 [1] ↑","27","201","481","1983807"
"10  Rohtak","","3","44","33110","32512 [2] ↑","98.19%","537","8","38","161","1807192"
"","11  Yamunanagar","4","26","32545","32061 [10] ↑","98.51%","458","6","226","142","2030508"
"12  Kurukshetra","","1","19","27774","27350","98.47%","405","16","79","254","1620332"
"13  Bhiwani","","6","23","27120","26430 [1] ↑","97.46%","667","1","42","157","1875109"
"14","Jind","1","18","25373","24813","97.79%","542","39","21","206","1773742"
"","15  Mahendragarh","1","3","24994","24826 [6] ↑","99.33%","165","17","106","323","1440652"
"16  Rewari","","6","3","24958","24731 [5] ↑","99.09%","224","9","18","118","1622521"
"17","Jhajjar","1","16","24074","23699 [4] ↑","98.44%","353","0","5","58","1628867"
"18  Fatehabad","","0","7","20282","19775 [5] ↑","97.50%","500","18","13","27","1211660"
"19  Kaithal","","3","21","15172","14777","97.40%","374","16","115","1136","1879712"
"20  Palwal","","1","10","13652","13469 [2] ↑","98.66%","173","10","39","98","1574536"
"","21  Charkhi Dadri","6","23","8013","7843 [4] ↑","97.88%","147 [1] ↑","41","57","318","949205"
"22  Nuh","","1","2","6166","6025 [2] ↑","97.71%","139","2","7","23","1227001"
"HARYANA","","135","864","1053011","","1041436 [257] ↑  98.90%  10688 [2] ↑","","1054","2508","7200","45217027"
