"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","136","35538","0","34866","339","0","333","0"
"2","Ballari","566","100091","40","96206","2196","0","1689","0"
"3","Belagavi","468","82450","66","79348","2153","0","949","0"
"4","Bengaluru Rural","722","65166","48","61531","2740","0","895","0"
"5","Bengaluru Urban","21071","1416807","3978","1254153","146200","5","16453","1"
"6","Bidar","178","25184","0","24045","731","0","404","4"
"7","Chamarajanagara","146","33926","22","32672","739","0","504","11"
"8","Chikkaballapura","287","45393","0","43641","1316","1","435","1"
"9","Chikkamagaluru","135","52389","77","51215","776","0","398","0"
"10","Chitradurga","184","37580","22","36614","754","0","212","0"
"11","Dakshina 
Kannada","782","121757","216","116038","4011","2","1701","7"
"12","Davanagere","244","51998","28","50527","863","0","608","0"
"13","Dharwada","634","64537","78","60734","2476","0","1325","2"
"14","Gadag","117","26637","16","25814","504","0","319","0"
"15","Hassana","1171","116844","165","111557","4021","1","1264","2"
"16","Haveri","55","22107","4","21326","138","0","643","0"
"17","Kalaburagi","562","64301","299","61614","1860","1","827","0"
"18","Kodagu","148","38535","14","37480","716","0","338","1"
"19","Kolara","552","49845","65","46889","2312","0","644","0"
"20","Koppala","80","35548","9","34716","304","0","528","0"
"21","Mandya","709","77976","231","74439","2878","1","659","0"
"22","Mysuru","1892","186844","255","178806","5603","1","2435","0"
"23","Raichuru","143","40680","7","39677","670","0","333","0"
"24","Ramanagara","231","25212","29","23974","913","1","325","0"
"25","Shivamogga","287","71629","3","68713","1826","0","1090","0"
"26","Tumakuru","1373","126887","56","120385","5357","0","1145","0"
"27","Udupi","591","81093","78","77210","3392","0","491","0"
"28","Uttara Kannada","447","58540","69","56122","1639","0","779","0"
"29","Vijayapura","103","36887","27","35953","438","0","496","0"
"30","Yadagiri","33","27670","0","27347","117","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","34047","3220087","5902","2983645","197982","13","38431","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
 
Date: 16-01-2022 
 Page 5 of 18","","","","","","","","",""
