"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","543","821","4853"
"Kollam","348","120","2633"
"Pathanamthitta","195","550","1801"
"Alappuzha","229","646","2555"
"Kottayam","399","1562","4118"
"Idukki","220","414","3509"
"Ernakulam","553","2078","7130"
"Thrissur","315","912","3871"
"Palakkad","198","428","1429"
"Malappuram","270","471","2657"
"Kozhikode","425","602","3602"
"Wayanad","135","490","1944"
"Kannur","174","357","1014"
"Kasaragod","60","80","559"
"Total","4064","9531","41675"
