"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","3","4","0","2006","16","22","1"
"East Jaintia Hills","3","4","0","2566","33","22","0"
"East Khasi Hills","50","71","4","46746","1059","399","96"
"Eastern West Khasi Hills","3","6","0","119","5","34","1"
"North Garo Hills","5","4","0","1819","9","31","1"
"Ri-Bhoi","9","6","0","10210","96","126","2"
"South Garo Hills","2","3","0","1323","12","18","1"
"South West Garo Hills","4","6","0","2053","18","27","0"
"South West Khasi Hills","2","10","0","2664","19","39","0"
"West Garo Hills","15","64","0","10550","77","175","9"
"West Jaintia Hills","22","14","0","7099","139","103","5"
"West Khasi Hills","2","2","0","5611","75","24","0"
"Total","120","194","4","92766","1558","1020","116"
