"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","394","38487","304","36148","1997","2","342","0"
"2","Ballari","602","110264","902","102862","5702","4","1700","0"
"3","Belagavi","798","90198","867","83307","5924","3","967","0"
"4","Bengaluru Rural","367","76907","1810","70428","5576","1","903","0"
"5","Bengaluru Urban","16586","1698260","46050","1550991","130701","13","16567","1"
"6","Bidar","209","28670","385","26912","1347","0","407","4"
"7","Chamarajanagara","573","40623","521","35243","4858","1","511","11"
"8","Chikkaballapura","307","53514","619","48243","4826","1","444","1"
"9","Chikkamagaluru","292","55816","267","53597","1819","1","400","0"
"10","Chitradurga","309","42833","215","40232","2383","0","218","0"
"11","Dakshina 
Kannada","627","131755","795","125219","4792","5","1737","7"
"12","Davanagere","216","56131","325","53620","1900","0","611","0"
"13","Dharwada","1278","77874","1806","70548","5993","1","1331","2"
"14","Gadag","171","29515","343","27507","1682","1","326","0"
"15","Hassana","1039","138581","1800","129905","7388","1","1286","2"
"16","Haveri","460","24318","111","22487","1181","1","650","0"
"17","Kalaburagi","577","73260","1136","66851","5558","5","851","0"
"18","Kodagu","540","44833","784","41054","3435","1","343","1"
"19","Kolara","567","60661","810","53893","6122","1","646","0"
"20","Koppala","269","39312","234","36606","2176","0","530","0"
"21","Mandya","986","96692","1684","89886","6137","2","669","0"
"22","Mysuru","2431","218321","3194","204589","11250","9","2482","0"
"23","Raichuru","137","43914","402","41850","1722","2","342","0"
"24","Ramanagara","237","28734","183","27137","1260","3","337","0"
"25","Shivamogga","674","77923","498","72473","4347","1","1102","1"
"26","Tumakuru","1192","152314","2064","140443","10704","4","1167","0"
"27","Udupi","579","92244","1036","86095","5642","5","507","0"
"28","Uttara Kannada","665","66548","555","62576","3183","1","789","0"
"29","Vijayapura","139","39410","163","37436","1474","1","500","0"
"30","Yadagiri","116","29083","39","27824","1053","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","33337","3757031","69902","3465995","252132","70","38874","30"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
 
Date: 29-01-2022 
 Page 5 of 137","","","","","","","","",""
