"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","505","792","4198"
"Kollam","154","184","1000"
"Pathanamthitta","128","170","305"
"Alappuzha","93","68","488"
"Kottayam","177","260","2902"
"Idukki","43","142","1222"
"Ernakulam","424","662","4062"
"Thrissur","159","183","2052"
"Palakkad","67","48","672"
"Malappuram","106","117","1441"
"Kozhikode","277","370","3263"
"Wayanad","77","96","916"
"Kannur","145","227","1164"
"Kasaragod","52","58","816"
"Total","2407","3377","24501"
