TT|2022-09-22 07:55:10.722777|GetSource|ERR|File Not Found
TT|2022-09-22 09:55:12.414872|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-09-22 09:55:25.183308|ExtractFromHTML|OK|COMPLETED
TT|2022-09-22 11:55:11.341669|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-09-22 11:55:27.181358|ExtractFromHTML|OK|COMPLETED
TT|2022-09-22 19:55:13.108649|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-09-22 19:55:33.995210|ExtractFromHTML|OK|COMPLETED
TT|2022-09-22 20:55:13.479446|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-09-22 20:55:32.758497|ExtractFromHTML|OK|COMPLETED
TT|2022-09-22 21:55:18.893643|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-09-22 21:55:39.407991|ExtractFromHTML|OK|COMPLETED
TT|2022-09-22 22:55:12.506015|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-09-22 22:55:31.919457|ExtractFromHTML|OK|COMPLETED
TT|2022-09-22 23:55:12.610286|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-09-22 23:55:29.311291|ExtractFromHTML|OK|COMPLETED
TT|2022-09-23 07:55:11.598024|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-09-23 09:55:11.172399|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
