"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87685","27","85547","2111"
"2","SAS Nagar","68998","55","67870","1073"
"3","Jalandhar","63520","35","61986","1499"
"4","Patiala","48985","16","47607","1362"
"5","Amritsar","47434","8","45828","1598"
"6","Bathinda","41798","20","40731","1047"
"7","Hoshiarpur","30962","54","29914","994"
"8","Gurdaspur","22410","8","21599","803"
"9","Fazilka","20282","1","19751","530"
"10","Pathankot","18970","34","18508","428"
"11","Muktsar","18803","3","18276","524"
"12","Kapurthala","17870","3","17311","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15611","2","15228","381"
"15","Ferozepur","14436","47","13885","504"
"16","Faridkot","13951","6","13626","319"
"17","Ropar","12990","11","12554","425"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8905","3","8566","336"
"20","Moga","8684","2","8448","234"
"21","Tarn Taran","8067","6","7680","381"
"22","Barnala","5955","6","5705","244"
"","Total","603556","350","586594","16612"
