"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
15-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","12","181560","180559[10]","99.45","923[1]","78","3072","9163","3700472"
"2","Faridabad","1","99917","99192[1]","99.27","716","9","3136","7728","2593233"
"3","Hisar","0","53996","52859","97.89","1136","1","758","3027","1366673"
"4","Sonepat","0","47139","46885[1]","99.46","254","0","1553","3776","1458248"
"5","Karnal","0","40039","39486[1]","98.62","552","1","1830","4119","1505901"
"6","Panipat","0","31153","30512","97.94","638","3","2506","4046","1159995"
"7","Panchkula","1","30788","30396","98.73","379","13","840","3011","765339"
"8","Ambala","0","30150","29641","98.31","509","0","701","4362","1498745"
"9","Sirsa","0","29282","28774","98.27","508","0","1379","3548","1111080"
"10","Rohtak","0","25913","25352","97.84","534","10","1359","3511","1030601"
"11","Yamunanagar","0","24635","24219[2]","98.31","414","2","552","3711","1203612"
"12","Bhiwani","0","22409","21757","97.09","652","0","615","4649","1125508"
"13","Kurukshetra","0","22150","21791","98.38","357","2","734","2990","885272"
"14","Mahindergarh","0","21689","21534","99.29","155","0","960","3013","878890"
"15","Jind","0","21209","20676","97.49","533","0","1107","2275","1005517"
"16","Rewari","0","20329","20107","98.91","221","1","811","1979","978118"
"17","Jhajjar","0","18849","18515","98.23","328","0","789","3600","1032675"
"18","Fatehabad","0","17877","17394","97.30","481","2","423","1761","798487"
"19","Kaithal","0","11246","10898","96.91","346","2","1056","4325","870389"
"20","Palwal","0","11026","10873","98.61","153","0","718","2493","875974"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","192","973","644258"
"22","Nuh","0","5014","4891","97.55","123","0","6190","1099","470201"
"Total","","14","771448","761250[15]","98.68","10051[1]","124","31281","79159","26959188"
