"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","60","89","465"
"Kollam","22","19","95"
"Pathanamthitta","12","18","127"
"Alappuzha","23","21","103"
"Kottayam","29","35","286"
"Idukki","14","16","79"
"Ernakulam","106","119","673"
"Thrissur","18","21","30"
"Palakkad","3","2","46"
"Malappuram","12","10","115"
"Kozhikode","31","20","185"
"Wayanad","2","6","37"
"Kannur","14","7","41"
"Kasaragod","1","0","11"
"Total","347","383","2293"
