"Ropar","0","0","0%/ 29
Samples
Tested","0%/ 127
Samples
Tested","Nil","Nil"
"Sangrur","0","0","0%/ 17
Samples
Tested","0%/ 165
Samples
Tested","Nil","Nil"
"SAS Nagar","0","2","0%/ 19
Samples
Tested","2.15%/ 93
Samples
Tested","Nil","2 New Cases"
"SBS Nagar","0","0","0%/ 0
Samples
Tested","0%/ 3
Samples
Tested","Nil","Nil"
"On the
Day
Punjab","4","7","0.46%","0.18%","",""
