"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
05-01-2022","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","1178","185904","181560[71]","97.66","926","3418","21732","12423","4379751"
"2","Faridabad","259","100896","99359[11]","98.48","717","820","20041","11131","3240554"
"3","Hisar","36","54076","52868","97.77","1137","71","16330","8203","1989891"
"4","Sonepat","131","47388","46912[15]","99.00","254","222","12672","10271","1909259"
"5","Karnal","75","40266","39526[1]","98.16","554","186","17485","7611","1993903"
"6","Panipat","20","31245","30526[3]","97.70","638","81","10891","4227","1665471"
"7","Panchkula","171","31358","30604[55]","97.60","382","372","5230","3691","926741"
"8","Ambala","124","30534","29674[8]","97.18","509","351","11234","2632","1846033"
"9","Sirsa","5","29325","28797[1]","98.20","509","19","12945","4485","1681690"
"10","Rohtak","24","26017","25376[2]","97.54","534","90","8547","4563","1349976"
"11","Yamunanagar","24","24757","24260[6]","97.99","414","83","8115","4279","1514709"
"12","Bhiwani","5","22423","21761","97.05","652","10","7947","3167","1510378"
"13","Kurukshetra","29","22255","21817[2]","98.03","358","80","7300","4199","1193483"
"14","Mahindergarh","4","21707","21534","99.20","156","17","9374","2328","1143540"
"15","Jind","10","21235","20678","97.38","533","24","9916","5059","1409279"
"16","Rewari","15","20373","20109","98.70","221","43","6971","3270","1323996"
"17","Jhajjar","32","18925","18522[1]","97.87","328","69","8977","4796","1315498"
"18","Fatehabad","8","17901","17398","97.19","482","21","9104","3885","1051428"
"19","Kaithal","10","11274","10904","96.72","347","23","17335","2113","1415197"
"20","Palwal","7","11045","10877","98.48","153","15","5854","5529","1213419"
"21","Charkhi Dadri","2","5086","4940","97.13","139","7","5736","1627","741319"
"22","Nuh","7","5028","4891","97.28","123","14","4657","6169","902875"
"Haryana","","2176","779018","762893[176]","97.93","10066","6036","238393","115658","35718390"
