"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","36","14","62129","2","4515","66638","22"
"Bageshwar","0","1","33979","0","2088","36063","0"
"Chamoli","86","69","46786","0","3200","49984","53"
"Champawat","68","373","60496","0","1910","62403","31"
"Dehradun","468","268","360456","11","32974","393295","69"
"Haridwar","169","152","303345","1","13096","316411","33"
"Nainital","258","285","79413","4","11328","90671","71"
"Pauri Garhwal","124","135","92043","0","5268","97304","42"
"Pithoragarh","73","187","39700","0","2559","42247","23"
"Rudraprayag","20","7","26594","0","2702","29296","13"
"Tehri Garhwal","119","113","33825","0","2352","36170","11"
"US Nagar","639","98","131835","0","8788","140599","72"
"Uttarkashi","163","9","36792","0","1641","38431","88"
"Total","2223","1711","1307393","18","92421","1399512","528"
