"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 19-10-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","19","90","300665","299546 [25] ↑","99.63%","1029","9","24","20","5711389"
"2","Faridabad","7","32","135660","134887 [2] ↑","99.43%","741","82","30","43","4182357"
"3  Hisar","","0","6","63868","62680","98.14%","1182","1","3","57","2438614"
"4","Sonipat","0","4","59584","59304 [1] ↑","99.53%","276","5","28","41","2359733"
"5","Karnal","4","17","49909","49292","98.76%","600","6","26","133","2468597"
"6","Panchkula","4","19","48378","47938 [2] ↑","99.09%","421","3","17","21","1178470"
"7","Ambala","0","5","42836","42289","98.72%","542","6","22","15","2209411"
"8","Panipat","0","4","36758","36077 [2] ↑","98.15%","677","1","71","121","2130621"
"9","Sirsa","1","2","34216","33668","98.40%","546","0","1","0","1989898"
"10  Rohtak","","4","16","33192","32622 [1] ↑","98.28%","537","1","31","6","1815477"
"","11  Yamunanagar","4","6","32702","32238 [5] ↑","98.58%","458","19","121","18","2041094"
"12  Kurukshetra","","0","2","27826","27416","98.53%","408","3","9","37","1628050"
"13  Bhiwani","","0","5","27189","26517 [3] ↑","97.53%","667","0","0","0","1882981"
"14","Jind","0","1","25413","24868 [1] ↑","97.86%","544","4","15","6","1782563"
"","15  Mahendragarh","0","5","25008","24838","99.32%","165","14","38","44","1449740"
"16  Rewari","","0","1","24986","24761","99.10%","224","3","5","12","1629342"
"17","Jhajjar","0","0","24108","23747","98.50%","355","1","2","143","1635335"
"18  Fatehabad","","0","0","20295","19795","97.54%","500","2","9","20","1215629"
"19  Kaithal","","1","3","15208","14829 [2] ↑","97.51%","376","1","26","223","1901017"
"20  Palwal","","0","1","13658","13481","98.70%","176","0","2","7","1578045"
"","21  Charkhi Dadri","0","0","8077","7930 [1] ↑","98.18%","147","1","6","56","956421"
"22  Nuh","","0","1","6179","6039","97.73%","139","0","0","0","1227294"
"HARYANA","","44","220","1055715","1044762 [45] ↑","98.96%","10710","162","486","1023","45412078"
