"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","5","35247","12","34866","48","0","333","0"
"2","Ballari","185","98715","18","96111","915","0","1689","0"
"3","Belagavi","276","81362","19","79200","1213","1","949","0"
"4","Bengaluru Rural","390","63523","37","61400","1231","0","892","0"
"5","Bengaluru Urban","18374","1353331","1132","1246001","90893","3","16436","1"
"6","Bidar","97","24704","33","23988","308","0","404","4"
"7","Chamarajanagara","176","33581","4","32612","454","0","504","11"
"8","Chikkaballapura","119","44549","10","43598","518","0","432","1"
"9","Chikkamagaluru","90","51884","9","51094","392","0","398","0"
"10","Chitradurga","78","37088","6","36579","297","0","212","0"
"11","Dakshina 
Kannada","625","119544","228","115188","2650","0","1699","7"
"12","Davanagere","92","51414","13","50445","361","0","608","0"
"13","Dharwada","399","62917","107","60493","1097","0","1325","2"
"14","Gadag","69","26276","8","25775","182","0","319","0"
"15","Hassana","490","114051","62","111175","1611","0","1263","2"
"16","Haveri","19","22010","2","21320","47","0","643","0"
"17","Kalaburagi","346","63017","12","61233","958","1","826","0"
"18","Kodagu","72","38133","41","37430","364","0","338","1"
"19","Kolara","293","48250","82","46661","945","0","644","0"
"20","Koppala","32","35326","0","34675","123","0","528","0"
"21","Mandya","406","75995","166","73681","1657","0","657","0"
"22","Mysuru","695","183420","150","178168","2821","1","2431","0"
"23","Raichuru","122","40256","0","39664","259","0","333","0"
"24","Ramanagara","112","24620","17","23928","368","0","324","0"
"25","Shivamogga","212","70722","23","68626","1006","0","1090","0"
"26","Tumakuru","547","123392","28","120259","1988","1","1145","0"
"27","Udupi","379","79398","90","76993","1914","0","491","0"
"28","Uttara Kannada","250","57555","21","55945","831","0","779","0"
"29","Vijayapura","39","36602","31","35877","229","1","496","0"
"30","Yadagiri","16","27606","2","27347","53","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","25005","3124524","2363","2970365","115733","8","38397","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 13-01-2022 
 Page 5 of 11","","","","","","","","",""
