"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4562","4148","7","4","403"
"Bageshwar","2098","2003","2","0","93"
"Chamoli","3242","3124","7","3","108"
"Champawat","1915","1894","0","1","20"
"Dehradun","34553","33523","485","178","367"
"Haridwar","13374","13060","51","27","236"
"Nainital","11565","11424","57","29","55"
"Pauri Garhwal","5318","4321","7","19","971"
"Pithoragarh","2575","2427","6","4","138"
"Rudraprayag","2720","2586","1","2","131"
"Tehri Garhwal","2432","2036","11","7","378"
"U.S. Nagar","8897","8572","23","5","297"
"Uttarkashi","1724","1534","9","5","176"
"Total","94975","90652","666","284","3373"
