"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2912","113388","2823","110312","37","3016","60"
"2","SAS Nagar","5094","100783","4945","99478","19","1167","138"
"3","Jalandhar","2692","80957","2555","78893","30","1970","94"
"4","Patiala","2035","64115","1962","62345","11","1722","48"
"5","Amritsar","1311","60866","1236","58944","6","1846","76"
"6","Bathinda","1403","52270","1329","50772","3","1426","72"
"7","Hoshiarpur","1222","42331","1125","40857","16","1416","58"
"8","Gurdaspur","330","27257","298","26371","3","867","19"
"9","Pathankot","486","24988","434","24449","4","521","18"
"10","Fazilka","433","23865","408","23211","0","621","33"
"11","Muktsar","255","22807","236","22246","3","542","19"
"12","Kapurthala","524","22553","489","21930","7","599","24"
"13","Ropar","1050","18988","973","18456","4","459","73"
"14","Ferozepur","444","18337","412","17772","3","540","25"
"15","Mansa","184","17409","177","17013","1","393","3"
"16","Faridkot","370","17206","365","16786","3","414","6"
"17","Sangrur","271","14705","258","13831","9","869","5"
"18","SBS Nagar","429","13831","413","13401","0","409","21"
"19","FG Sahib","670","12585","656","12136","1","437","12"
"20","Moga","225","11224","213","10944","4","270","10"
"21","Tarn Taran","137","11037","116","10621","1","399","17"
"22","Barnala","202","7702","185","7323","5","362","17"
"23","Malerkotla","60","4063","57","3848","3","214","1"
"","Total","22739","783267","21665","761939","173","20479","849"
