"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","70","113","610"
"Kollam","29","27","32"
"Pathanamthitta","40","50","152"
"Alappuzha","22","5","110"
"Kottayam","56","61","613"
"Idukki","15","62","377"
"Ernakulam","138","172","1084"
"Thrissur","29","61","225"
"Palakkad","10","8","58"
"Malappuram","11","19","202"
"Kozhikode","43","58","378"
"Wayanad","10","34","128"
"Kannur","19","21","54"
"Kasaragod","4","2","28"
"Total","496","693","4051"
