"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,172"
"2","Number of persons tested positive today in Tamil Nadu","600"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE – 3 
Ghana – 1 
UK - 1"
"","Total","605"
"3","Total Number of persons tested positive till date","27,40,411"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,01,237/ 
5,63,16,308@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,01,005/ 
5,53,79,120"
"6","No. of Male / Female / Transgender tested positive today","363/242/0"
"7","No. of Male / Female / Transgender tested positive till date","15,99,575/11,40,798/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","317 (69 Govt+ 
248 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","697/ 
26,96,553"
"10","Total number of deaths today/ till date","6(2 Private &  
4 Govt) /36,686)"
