"Total No. of Sample Taken Today","14052"
"Total No. of Positive Cases Detected Today","578"
"Total Active COVID-19 Patients","2547"
"Total No. of Active Cases under Home Isolation (26-07-2022)","2459"
"Total No. of Samples found Positive till date","1026808"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1013603"
"No. of Deaths","10635"
"Total No. of People Vaccinated Today","26374 
(1st Dose: 1717 
2nd Dose: 7821 
Precaution Dose: 16836)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23614968 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 87% for 15yrs above population)","19629405 (87%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1384431"
"Cumulative Coverage of Total COVID-19 Vaccination","44628804"
"COVID-19 Today (26-07-2022) Positivity Rate","5.64%"
"Recovery Rate","98.71%"
"Fatality Rate","1.04%"
