"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 26-07-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","173","722","287410","285678","[189] ↑  99.40%","1010","195","409","2224","5574992"
"2","Faridabad","34","295","132898","131862 
[40] ↑","99.22%","741","81","197","746","4131331"
"3  Hisar","","18","88","62749","61485 
[11] ↑","97.99%","1176","262","1061","1565","2390157"
"4","Sonipat","3","30","59036","58730 
[11] ↑","99.48%","276","23","561","340","2325619"
"5","Karnal","46","238","49117","48282 
[29] ↑","98.30%","597","169","435","679","2430363"
"6","Panchkula","98","290","46337","45631 
[58] ↑","98.48%","416","31","116","634","1159531"
"7","Ambala","34","265","41680","40873 
[24] ↑","98.06%","542","203","203","962","2180188"
"8","Panipat","16","46","36373","35653 
[5] ↑","98.02%","674","261","424","1049","2098877"
"9","Sirsa","4","37","33746","33170 
[14] ↑","98.29%","539","48","233","307","1966090"
"10  Rohtak","","27","108","32435","31773 
[7] ↑","97.96%","537","20","843","1081","1776122"
"","11  Yamunanagar","48","90","31163","30617 
[64] ↑","98.25%","456","154","612","438","2008385"
"12  Kurukshetra","","31","118","27254","26736 
[15] ↑","98.10%","400","32","987","631","1596945"
"13  Bhiwani","","4","36","26727","26026 
[7] ↑","97.38%","665","31","434","863","1847612"
"","14  Mahendragarh","5","19","24840","24656","99.26%","165","10","58","228","1422555"
"15  Rewari","","3","3","24743","24516 
[1] ↑","99.08%","224","12","41","582","1605884"
"16","Jind","18","57","24693","24094 
[11] ↑","97.57%","542","56","554","860","1753520"
"17","Jhajjar","6","21","23675","23297 
[6] ↑","98.40%","351","33","70","362","1613306"
"18  Fatehabad","","6","11","20158","19649 
[1] ↑","97.47%","498","15","69","163","1201493"
"19  Kaithal","","3","58","14556","14127 
[23] ↑","97.05%","371","25","324","2177","1830458"
"20  Palwal","","0","7","13550","13372","98.69%","171","46","162","413","1560463"
"","21  Charkhi Dadri","0","7","7531","7379 
[4] ↑","97.98%","145","8","25","502","929043"
"22  Nuh","","1","1","6137","5997 
[1] ↑","97.72%","139","2","3","30","1225870"
"HARYANA","","578","2547","1026808","1013603","[521] ↑  98.71%","10635","1717","7821","16836","44628804"
