"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","5863","579","30149"
"Kollam","1264","29","7061"
"Pathanamthitta","872","487","3671"
"Alappuzha","835","336","3995"
"Kottayam","1476","308","9030"
"Idukki","605","227","3442"
"Ernakulam","4100","1607","20124"
"Thrissur","1861","402","11995"
"Palakkad","1191","215","5070"
"Malappuram","935","133","5817"
"Kozhikode","2043","513","12015"
"Wayanad","227","66","2048"
"Kannur","1100","280","4994"
"Kasaragod","574","98","2047"
"Total","22946","5280","121458"
