"COVID-19 DISTRICT WISE STATUS, MEGHALAYA","","","","","","",""
"District Name","Active 
Cases","New 
Cases","New 
Recoveries","New 
Deaths","Total Cases","Total 
Recoveries","Total 
Deaths"
"East Garo Hills","10","2","0","0","1880","1856","14"
"East Jaintia Hills","3","0","0","0","2438","2403","32"
"East Khasi Hills","195","19","17","0","41358","40171","992"
"North Garo Hills","0","0","0","0","1685","1677","8"
"Ri-Bhoi","17","1","1","0","9716","9609","90"
"South Garo Hills","1","0","0","0","1217","1204","12"
"South West Garo Hills","1","0","0","0","1873","1854","18"
"South West Khasi Hills","0","0","0","0","2549","2532","17"
"West Garo Hills","15","4","2","0","9061","8973","73"
"West Jaintia Hills","10","6","1","0","6816","6671","135"
"West Khasi Hills","11","2","4","1","5487","5402","74"
"Total","263","34","25","1","84080","82352","1465"
