District,Recovered,Deceased,Active
लखनऊ,291291,2683,1618
गौतम बिु नगर,96578,489,513
िाराणसी,96914,988,347
प्रयागराज,86696,1103,346
लखीमपरु-खीरी,29463,298,338
गोरखपरु,65469,865,318
गाज़ियाबाद,83694,473,277
कानपरु नगर,91042,1923,271
झासी,43529,675,253
हरदोई,16906,364,208
राय बरेली,20957,346,191
बाराबकंी,23337,225,182
अमरोहा,19100,205,152
शाहजहांपरु,24199,446,152
बरेली,49890,377,145
मरेठ,87811,930,138
महाराजगजं,14450,145,129
देवररया,22243,228,119
श्रावस्ती,5116,41,108
लललतपरु,14460,132,106
सीतापरु,15565,187,105
सलु्तानपरु,16686,144,104
बदाय,17794,101,97
उन्नाव,16724,257,91
आगरा,35344,464,82
फतहेपरु,8117,141,80
आजमगढ़,19315,234,78
कन्नौज,10677,124,76
कानपरु देहात,7026,110,76
जौनपरु,24210,244,75
बहराइच,13280,178,72
बलुदंशहर,26183,252,72
पीलीभीत,12605,204,72
सोनभद्र,18533,257,72
अम्बडेकर नगर,5824,162,69
अमठेी,11365,145,67
भदोही,8386,165,67
बबजनौर,18202,139,64
जालौन,13722,207,64
गोंडा,14020,284,60
कुशीनगर,16123,235,60
लसद्धार् नगर,11442,102,60
अलीगढ,25385,113,56
