,Unnamed: 0,44,Unnamed: 1,हमीरपरु,Unnamed: 2,6,Unnamed: 3,10,Unnamed: 4,5950,Unnamed: 5,0,Unnamed: 6,102,Unnamed: 7,56,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,बादा,,5.0,,11.0,,11958.0,,0.0,,166.0,,52.0,,,,,
1,,46,,इटावा,,5.0,,7.0,,15699.0,,0.0,,296.0,,52.0,,,,,
2,,47,,अयोध्या,,3.0,,4.0,,18587.0,,0.0,,292.0,,51.0,,,,,
3,,48,,मजुफ्फरनगर,,2.0,,47.0,,38231.0,,0.0,,277.0,,50.0,,,,,
4,,49,,फर्रखाबाद,,6.0,,2.0,,11817.0,,0.0,,197.0,,49.0,,,,,
5,,50,,मर्रुा,,8.0,,3.0,,25460.0,,0.0,,406.0,,49.0,,,,,
6,,51,,प्रतापगढ़,,7.0,,11.0,,16612.0,,0.0,,163.0,,48.0,,,,,
7,,52,,बस्ती,,3.0,,8.0,,12723.0,,0.0,,336.0,,41.0,,,,,
8,,53,,कौशाम्बी,,8.0,,11.0,,4798.0,,0.0,,72.0,,41.0,,,,,
9,,54,,बागपत,,2.0,,3.0,,10972.0,,0.0,,143.0,,40.0,,,,,
10,,55,,क्रिरोजाबाद,,10.0,,3.0,,10481.0,,0.0,,136.0,,37.0,,,,,
11,,56,,गाजीपरु,,1.0,,17.0,,23815.0,,1.0,,294.0,,36.0,,,,,
12,,57,,मरुादाबाद,,1.0,,10.0,,46021.0,,0.0,,366.0,,36.0,,,,,
13,,58,,बलरामपरु,,2.0,,4.0,,8067.0,,0.0,,139.0,,34.0,,,,,
14,,59,,सतं कबीर नगर,,2.0,,3.0,,8792.0,,0.0,,101.0,,32.0,,,,,
15,,60,,शामली,,1.0,,1.0,,16642.0,,0.0,,48.0,,31.0,,,,,
16,,61,,औरैय्या,,2.0,,8.0,,10739.0,,0.0,,211.0,,28.0,,,,,
17,,62,,सभंल,,1.0,,6.0,,10992.0,,0.0,,109.0,,28.0,,,,,
18,,63,,महोबा,,0.0,,2.0,,4428.0,,0.0,,88.0,,27.0,,,,,
19,,64,,सहारनपरु,,2.0,,10.0,,38287.0,,0.0,,426.0,,27.0,,,,,
20,,65,,बललया,,1.0,,6.0,,22484.0,,0.0,,245.0,,26.0,,,,,
21,,66,,एटा,,1.0,,5.0,,12043.0,,0.0,,100.0,,26.0,,,,,
22,,67,,चदंौली,,3.0,,13.0,,17477.0,,0.0,,378.0,,25.0,,,,,
23,,68,,मनैपरुी,,1.0,,7.0,,11415.0,,0.0,,189.0,,25.0,,,,,
24,,69,,मऊ,,2.0,,4.0,,8903.0,,0.0,,85.0,,20.0,,,,,
25,,70,,लमर्ापरु,,0.0,,5.0,,11922.0,,0.0,,122.0,,20.0,,,,,
26,,71,,हार्रस,,0.0,,0.0,,3695.0,,0.0,,43.0,,15.0,,,,,
27,,72,,कासगजं,,3.0,,5.0,,4855.0,,0.0,,55.0,,14.0,,,,,
28,,73,,चचत्रकट,,1.0,,4.0,,7717.0,,0.0,,79.0,,13.0,,,,,
29,,74,,हापड़ु,,2.0,,2.0,,15156.0,,0.0,,222.0,,13.0,,,,,
30,,75,,रामपरु,,2.0,,5.0,,14586.0,,0.0,,153.0,,11.0,,,,,
31,,Total,,,,,,,844.0,,1647.0,,2030997.0,,5.0,,23424.0,,8683.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23424 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
