KL|2021-12-05 07:55:08.784128|GetSource|ERR|File Not Found
KL|2021-12-05 09:55:07.586672|GetSource|OK|File Downloaded. Source URL: https://dashboard.kerala.gov.in/covid/daily.php
KL|2021-12-05 09:55:19.037258|ExtractFromHTML|OK|COMPLETED
KL|2021-12-05 10:46:15.528482|GetSource|OK|File Downloaded. Source URL: https://dashboard.kerala.gov.in/covid/daily.php
KL|2021-12-05 10:46:27.180918|ExtractFromHTML|OK|COMPLETED
KL|2021-12-05 10:49:06.104153|ExtractFromHTML|OK|COMPLETED
KL|2021-12-05 11:39:33.157154|GetSource|OK|File Downloaded. Source URL: https://dashboard.kerala.gov.in/covid/daily.php
KL|2021-12-05 11:39:44.113371|ExtractFromHTML|OK|COMPLETED
KL|2021-12-05 11:55:10.076071|GetSource|OK|File Downloaded. Source URL: https://dashboard.kerala.gov.in/covid/daily.php
KL|2021-12-05 11:55:24.270121|ExtractFromHTML|OK|COMPLETED
