StateName,Parameters,StateCode,StateDataSourceType,myGov,StateDataURL,Twitter Handle,Twitter Search Term
Manipur,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",MN,Image(Twitter),,https://twitter.com/imphalrob,health_manipur,Manipur updates
Meghalaya,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",ML,pdf,,http://nhmmeghalaya.nic.in/,,
Mizoram,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",MZ,html,yes,https://health.mizoram.gov.in/category/news,,
Nagaland,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",NL,pdf,,https://covid19.nagaland.gov.in/daily-bulletins,,
Odisha,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",OR,html,,https://statedashboard.odisha.gov.in/,,
Punjab,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",PB,pdf,,https://nhm.punjab.gov.in/media-bulletin_Oct21.htm,,
Rajasthan,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",RJ,pdf,,https://twitter.com/dineshkumawat,dineshkumawat,#Rajasthan Bulletin
Sikkim,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",SK,html,yes,https://www.mygov.in/covid-19,,
Tamil Nadu,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",TN,pdf,,https://stopcorona.tn.gov.in/daily-bulletin/,,
Telangana,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",TG,html,yes,https://twitter.com/IPRTelangana/status/1452627812695699456,,
Tripura,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",TR,html,,https://covid19.tripura.gov.in/Visitor/ViewStatus.aspx,,
Uttar Pradesh,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",UP,html,yes,https://www.mygov.in/covid-19,,
Uttarakhand,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",UT,pdf,,https://health.uk.gov.in/pages/display/140-novel-corona-virus-guidelines-and-advisory-,,
West Bengal,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",WB,pdf,,https://www.wbhealth.gov.in/pages/corona/bulletin,,
Andaman and Nicobar Islands,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",AN,html,yes,https://www.mygov.in/covid-19,,
Chandigarh,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",CH,html,yes,https://www.mygov.in/covid-19,,
Dadra and Nagar Haveli and Daman and Diu,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",DN,html,yes,https://www.mygov.in/covid-19,,
Delhi,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",DL,html,yes,https://www.mygov.in/covid-19,,
Ladakh,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",LA,pdf,,https://covid.ladakh.gov.in/Upload/getfileN/63453be7-344e-40e4-bb10-67276a13aeb1_Media%20Bulletin%2027.10.2021.pdf,,
Lakshadweep,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",LD,html,yes,https://www.mygov.in/covid-19,,
Jammu and Kashmir,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",JK,Image(Twitter),,https://twitter.com/diprjk/status/1452620921202565128,diprjk,Media Bulletin
Puducherry,"[Confirmed,Recovered,Deceased,Others/Migrated,Tested,Vaccination1,Vaccination2,Vaccination3]",PY,Image(Twitter),yes,https://www.mygov.in/covid-19, , 
