,State,Vaccination1,Vaccination2,Date,Confirmed,Recovered,Deceased,Other,Tested,Vaccination3
0,India,,,2020-01-30,1,0,0,0,0,
1,Kerala,,,2020-01-30,1,0,0,0,0,
2,India,,,2020-02-02,2,0,0,0,0,
3,Kerala,,,2020-02-02,2,0,0,0,0,
4,India,,,2020-02-03,3,0,0,0,0,
5,Kerala,,,2020-02-03,3,0,0,0,0,
6,India,,,2020-02-14,3,3,0,0,0,
7,Kerala,,,2020-02-14,3,3,0,0,0,
8,Delhi,,,2020-03-02,1,0,0,0,0,
9,India,,,2020-03-02,5,3,0,0,0,
10,Kerala,,,2020-03-02,3,3,0,0,0,
11,Telangana,,,2020-03-02,1,0,0,0,0,
12,Delhi,,,2020-03-03,1,0,0,0,0,
13,India,,,2020-03-03,6,3,0,0,0,
14,Kerala,,,2020-03-03,3,3,0,0,0,
15,Rajasthan,,,2020-03-03,1,0,0,0,0,
16,Telangana,,,2020-03-03,1,0,0,0,0,
17,Delhi,,,2020-03-04,1,0,0,0,0,
18,Haryana,,,2020-03-04,14,0,0,0,0,
19,India,,,2020-03-04,28,3,0,0,0,
20,Kerala,,,2020-03-04,3,3,0,0,0,
21,Rajasthan,,,2020-03-04,2,0,0,0,0,
22,Telangana,,,2020-03-04,1,0,0,0,0,
23,Uttar Pradesh,,,2020-03-04,7,0,0,0,0,
24,Delhi,,,2020-03-05,2,0,0,0,0,
25,Haryana,,,2020-03-05,14,0,0,0,0,
26,India,,,2020-03-05,30,3,0,0,0,
27,Kerala,,,2020-03-05,3,3,0,0,0,
28,Rajasthan,,,2020-03-05,2,0,0,0,0,
29,Telangana,,,2020-03-05,1,0,0,0,0,
30,Uttar Pradesh,,,2020-03-05,8,0,0,0,0,
31,Delhi,,,2020-03-06,3,0,0,0,0,
32,Haryana,,,2020-03-06,14,0,0,0,0,
33,India,,,2020-03-06,31,3,0,0,0,
34,Kerala,,,2020-03-06,3,3,0,0,0,
35,Rajasthan,,,2020-03-06,2,0,0,0,0,
36,Telangana,,,2020-03-06,1,0,0,0,0,
37,Uttar Pradesh,,,2020-03-06,8,0,0,0,0,
38,Delhi,,,2020-03-07,3,0,0,0,0,
39,Haryana,,,2020-03-07,14,0,0,0,0,
40,India,,,2020-03-07,34,3,0,0,0,
41,Kerala,,,2020-03-07,3,3,0,0,0,
42,Ladakh,,,2020-03-07,2,0,0,0,0,
43,Rajasthan,,,2020-03-07,2,0,0,0,0,
44,Tamil Nadu,,,2020-03-07,1,0,0,0,0,
45,Telangana,,,2020-03-07,1,0,0,0,0,
46,Uttar Pradesh,,,2020-03-07,8,0,0,0,0,
47,Delhi,,,2020-03-08,3,0,0,0,0,
48,Haryana,,,2020-03-08,14,0,0,0,0,
49,India,,,2020-03-08,39,3,0,0,0,
50,Kerala,,,2020-03-08,8,3,0,0,0,
51,Ladakh,,,2020-03-08,2,0,0,0,0,
52,Rajasthan,,,2020-03-08,2,0,0,0,0,
53,Tamil Nadu,,,2020-03-08,1,0,0,0,0,
54,Telangana,,,2020-03-08,1,0,0,0,0,
