"S. No.","District","Total Confirmed 
Cases","Total Active 
Cases","Total Cured","Deaths"
"1","Ludhiana","87621","17","85498","2106"
"2","SAS Nagar","68846","33","67744","1069"
"3","Jalandhar","63414","31","61887","1496"
"4","Patiala","48933","9","47566","1358"
"5","Amritsar","47391","9","45784","1598"
"6","Bathinda","41734","15","40677","1042"
"7","Hoshiarpur","30834","12","29836","986"
"8","Gurdaspur","22384","3","21580","801"
"9","Fazilka","20276","9","19738","529"
"10","Pathankot","18826","22","18383","421"
"11","Muktsar","18784","1","18259","524"
"12","Kapurthala","17855","4","17295","556"
"13","Sangrur","15766","5","14886","875"
"14","Mansa","15607","1","15226","380"
"15","Ferozepur","14353","13","13836","504"
"16","Faridkot","13928","4","13609","315"
"17","Ropar","12968","9","12535","424"
"18","SBS Nagar","11472","4","11080","388"
"19","FG Sahib","8881","5","8541","335"
"20","Moga","8677","2","8442","233"
"21","Tarn Taran","8050","7","7663","380"
"22","Barnala","5950","7","5699","244"
"","Total","602550","222","585764","16564"
