"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","0","35180","0","34842","5","0","333","0",""
"","2","Ballari","0","97780","0","95980","114","0","1686","0",""
"","3","Belagavi","4","79940","5","78936","63","0","941","0",""
"","4","Bengaluru Rural","2","62051","3","61111","50","0","890","0",""
"","5","Bengaluru Urban","154","1253823","160","1230875","6637","3","16310","1",""
"","6","Bidar","0","24342","0","23937","0","0","401","4",""
"","7","Chamarajanagara","5","33018","1","32485","20","0","502","11",""
"","8","Chikkaballapura","1","43963","0","43522","9","0","431","1",""
"","9","Chikkamagaluru","3","51166","2","50718","52","0","396","0",""
"","10","Chitradurga","0","36692","4","36448","38","0","206","0",""
"","11","Dakshina 
Kannada","12","115659","14","113838","131","0","1683","7",""
"","12","Davanagere","0","50994","0","50374","12","0","608","0",""
"","13","Dharwada","5","61011","4","59656","36","0","1317","2",""
"","14","Gadag","0","26066","0","25747","0","0","319","0",""
"","15","Hassana","2","111929","4","110542","129","0","1256","2",""
"","16","Haveri","0","21947","0","21304","0","0","643","0",""
"","17","Kalaburagi","2","61942","0","61105","17","0","820","0",""
"","18","Kodagu","3","37159","2","36762","66","0","330","1",""
"","19","Kolara","3","46969","3","46279","55","0","635","0",""
"","20","Koppala","0","35198","0","34661","13","0","524","0",""
"","21","Mandya","3","73819","7","73111","54","0","654","0",""
"","22","Mysuru","13","179379","24","176825","135","0","2419","0",""
"","23","Raichuru","0","39978","0","39643","3","0","332","0",""
"","24","Ramanagara","0","24211","0","23876","14","0","321","0",""
"","25","Shivamogga","5","69482","0","68300","92","0","1090","0",""
"","26","Tumakuru","8","120937","9","119670","134","0","1133","0",""
"","27","Udupi","6","76793","6","76258","47","0","488","0",""
"","28","Uttara Kannada","13","56330","3","55465","94","0","771","0",""
"","29","Vijayapura","1","36274","0","35774","5","0","495","0",""
"","30","Yadagiri","0","27546","0","27338","2","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","245","2991614","251","2945415","8027","3","38143","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 13-11-2021 
 Page 5 of 8","","","","","","","","","",""
"","","","","","","","","","","",""
