,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10766,10637,129,2023-08-09,TT,44996112,531918,44462655,2023-12-23 22:12:36.304045,934084251,2023-08-08 00:00:00,32254,2206729234,1027415523,951982288,227331423,991264,347616,353285,290363,https://www.icmr.gov.in/,53,0,57,290,53,80,423,0,0,0,0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2340676,2325941,14733,2023-08-09,TT,44996112,531918,44462655,2023-12-23 22:12:36.304045,934084251,2023-08-08 00:00:00,32254,2206729234,1027415523,951982288,227331423,110957425,44704412,47578799,18674214,https://www.icmr.gov.in/,53,0,57,290,53,80,423,1,0,0,1,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,67049,66753,296,2023-08-09,TT,44996112,531918,44462655,2023-12-23 22:12:36.304045,934084251,2023-08-08 00:00:00,32254,2206729234,1027415523,951982288,227331423,1924584,961348,821819,141417,https://www.icmr.gov.in/,53,0,57,290,53,80,423,0,0,0,0,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746150,738115,8035,2023-08-09,TT,44996112,531918,44462655,2023-12-23 22:12:36.304045,934084251,2023-08-08 00:00:00,32254,2206729234,1027415523,951982288,227331423,50335778,24813013,22150254,3372511,https://www.icmr.gov.in/,53,0,57,290,53,80,423,0,0,0,0,0,0,0,,,1332900000,Assam,34293000
4,Bihar,855262,842945,12314,2023-08-09,TT,44996112,531918,44462655,2023-12-23 22:12:36.304045,934084251,2023-08-08 00:00:00,32254,2206729234,1027415523,951982288,227331423,157291419,73485652,67912376,15893391,https://www.icmr.gov.in/,53,0,57,290,53,80,423,0,0,18,18,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,100693,99508,1185,2023-08-09,TT,44996112,531918,44462655,2023-12-23 22:12:36.304045,934084251,2023-08-08 00:00:00,32254,2206729234,1027415523,951982288,227331423,2291674,1185842,991115,114717,https://www.icmr.gov.in/,53,0,57,290,53,80,423,5,1,4,10,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1187691,1173501,14190,2023-08-09,TT,44996112,531918,44462655,2023-12-23 22:12:36.304045,934084251,2023-08-08 00:00:00,32254,2206729234,1027415523,951982288,227331423,49167939,21267795,20343760,7556384,https://www.icmr.gov.in/,53,0,57,290,53,80,423,0,0,0,0,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,2023-08-09,TT,44996112,531918,44462655,2023-12-23 22:12:36.304045,934084251,2023-08-08 00:00:00,32254,2206729234,1027415523,951982288,227331423,1580060,782353,636962,160745,https://www.icmr.gov.in/,53,0,57,290,53,80,423,0,0,0,0,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2040829,2014157,26665,2023-08-09,TT,44996112,531918,44462655,2023-12-23 22:12:36.304045,934084251,2023-08-08 00:00:00,32254,2206729234,1027415523,951982288,227331423,37409171,18297784,15717476,3393911,https://www.icmr.gov.in/,53,0,57,290,53,80,423,2,2,6,10,2,0,0,,,1332900000,Delhi,19814000
9,Goa,263333,259318,4014,2023-08-09,TT,44996112,531918,44462655,2023-12-23 22:12:36.304045,934084251,2023-08-08 00:00:00,32254,2206729234,1027415523,951982288,227331423,2874477,1440045,1295735,138697,https://www.icmr.gov.in/,53,0,57,290,53,80,423,0,0,0,0,0,0,0,,,1332900000,Goa,1540000
