"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 20-07-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","174","660","286324","284655[170]","99.42","1009[1]","389","935","3927","5547738"
"2","Faridabad","45","322","132643","131580[14]","99.20","741","73","132","1013","4120317"
"3  Hisar","","4","40","62623","61407[9]","98.06","1176","241","474","379","2379934"
"4","Sonipat","11","46","59008","58686[2]","99.45","276","158","384","213","2320669"
"5","Karnal","43","212","48923","48114[20]","98.35","597","45","114","239","2423738"
"6","Panchkula","102","312","45971","45243[62]","98.42","416","19","150","839","1154766"
"7","Ambala","43","206","41461","40713[31]","98.20","542","103","300","876","2174692"
"8","Panipat","8","65","36333","35594","97.97","674","19","100","404","2091668"
"9","Sirsa","5","23","33683","33121[8]","98.33","539","29","140","255","1962619"
"10  Rohtak","","10","54","32337","31729[6]","98.12","537","55","356","900","1765601"
"","11  Yamunanagar","4","46","30933","30431[7]","98.38","456","19","465","595","2002241"
"12  Kurukshetra","","14","67","27145","26678[6]","98.28","400","13","919","335","1589570"
"13  Bhiwani","","2","29","26687","25993[1]","97.40","665","39","620","1342","1838886"
"","14  Mahendragarh","3","16","24819","24638[1]","99.27","165","46","99","604","1420063"
"15  Rewari","","2","6","24739","24509[1]","99.07","224","57","201","1178","1602912"
"16","Jind","16","60","24625","24023[7]","97.56","542","27","183","386","1749571"
"17","Jhajjar","4","22","23648","23269[1]","98.40","351","51","150","785","1609962"
"18  Fatehabad","","1","11","20148","19639[1]","97.47","498","16","66","214","1200108"
"19  Kaithal","","16","64","14515","14080[12]","97.00","371","112","293","1647","1820865"
"20  Palwal","","1","5","13544","13368[2]","98.70","171","38","154","442","1556681"
"","21  Charkhi Dadri","0","4","7520","7371[2]","98.02","145","11","85","622","925266"
"22  Nuh","","0","1","6136","5996","97.72","139","23","3","6","1225466"
"Haryana","","508","2271","1023765","1010837[363]","98.74","10634[1]","1583","6323","17201","44483333"
