"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19883","19616","0","267"
"2","Chengalpattu","235396","232670","68","2658"
"3","Chennai","750955","741708","179","9068"
"4","Coimbatore","329909","327249","43","2617"
"5","Cuddalore","74248","73344","9","895"
"6","Dharmapuri","36191","35904","4","283"
"7","Dindigul","37477","36808","4","665"
"8","Erode","132666","131924","8","734"
"9","Kallakurichi","36521","36304","2","215"
"10","Kancheepuram","94384","93062","20","1302"
"11","Kanyakumari","86209","85116","8","1085"
"12","Karur","29752","29380","0","372"
"13","Krishnagiri","59627","59252","5","370"
"14","Madurai","91029","89791","2","1236"
"15","Mayiladuthurai","26496","26166","0","330"
"16","Nagapattinam","25440","25064","1","375"
"17","Namakkal","68002","67463","5","534"
"18","Nilgiris","42116","41877","13","226"
"19","Perambalur","14461","14212","0","249"
"20","Pudukottai","34463","34037","0","426"
"21","Ramanathapuram","24674","24302","4","368"
"22","Ranipet","53918","53126","5","787"
"23","Salem","127363","125593","8","1762"
"24","Sivagangai","23823","23598","6","219"
"25","Tenkasi","32744","32253","1","490"
"26","Thanjavur","92139","91079","21","1039"
"27","Theni","50599","50064","2","533"
"28","Thirupathur","35734","35097","4","633"
"29","Thiruvallur","147441","145481","21","1939"
"30","Thiruvannamalai","66809","66119","5","685"
"31","Thiruvarur","48010","47538","0","472"
"32","Thoothukudi","64950","64498","4","448"
"33","Tirunelveli","62763","62314","4","445"
"34","Tiruppur","129925","128862","11","1052"
"35","Trichy","94938","93768","9","1161"
"36","Vellore","57289","56108","18","1163"
"37","Villupuram","54580","54214","0","366"
"38","Virudhunagar","56831","56271","6","554"
"39","Airport Surveillance 
(International)","1247","1241","5","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,52,534","34,14,004","505","38,025"
