,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,StateName,statePopulation
13,Jammu and Kashmir,332249,326915,4432,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,14715244,9513931,5201313,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,2921,54565,57486,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Jammu and Kashmir,13203000
14,Jharkhand,348764,343518,5138,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,20642086,15015374,5626712,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,31809,44339,76148,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Jharkhand,37403000
15,Karnataka,2988333,2941578,38082,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,65455555,42523868,22931687,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,27659,74371,102030,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Karnataka,65798000
16,Kerala,4968657,4857181,31681,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,39103097,25326275,13776822,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,19776,118485,138261,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Kerala,35125000
17,Ladakh,20962,20687,208,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,361490,208871,152619,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,73,339,412,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Ladakh,293000
18,Lakshadweep,10365,10314,51,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,101209,55130,46079,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,1,128,129,0,44,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Lakshadweep,68000
19,Maharashtra,6611078,6450585,140216,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,98454657,67342460,31112197,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,146130,137438,283568,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Maharashtra,122153000
20,Manipur,123731,121102,1921,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,1976975,1250178,726797,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,742,7387,8129,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Manipur,3103000
21,Meghalaya,83627,81746,1450,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,1752786,1104652,648134,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,1379,6318,7697,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Meghalaya,3224000
22,Mizoram,121524,114612,433,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,1226386,711768,514618,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,173,2601,2774,165,0,1,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Mizoram,1192000
23,Madhya Pradesh,792854,782215,10524,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,70979838,49927443,21052395,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,15614,215283,230897,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Madhya Pradesh,82232000
24,Nagaland,31842,30947,685,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,1204278,710309,493969,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,758,3318,4076,0,1043,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Nagaland,2150000
25,Odisha,1041457,1028697,8333,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,37512541,25823268,11689273,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,87992,129701,217693,0,-450,-53,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Odisha,43671000
26,Puducherry,128013,125726,1857,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,1139409,734215,405194,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,258,807,1065,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Puducherry,1504000
27,Punjab,602401,585591,16559,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,22222810,15958515,6264295,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,15992,25506,41498,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Punjab,29859000
28,Rajasthan,954429,945443,8954,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,62756985,42568698,20188287,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,25644,94298,119942,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Rajasthan,77264000
29,Sikkim,31979,31388,396,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,974576,521851,452725,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,88,1216,1304,0,325,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Sikkim,664000
30,Tamil Nadu,2702623,2655015,36116,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,58970465,41302519,17667946,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,25492,49805,75297,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Tamil Nadu,75695000
31,Telangana,671463,663498,3956,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,32516707,22630241,9886466,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,132753,114585,247338,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Telangana,37220000
32,Tripura,84504,83545,816,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,4160435,2510217,1650218,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,1741,29237,30978,36,79,3,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Tripura,3992000
33,Uttar Pradesh,1710158,1687151,22900,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,131531114,98449202,33081912,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,273421,403363,676784,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Uttar Pradesh,224979000
34,Uttarakhand,343896,336345,7400,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,11423614,7481804,3941810,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,3805,43671,47476,0,6150,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Uttarakhand,11141000
35,West Bengal,1592908,1565471,19141,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,78612130,56784295,21827835,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,600890,269681,870571,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,76319296,55189660,21129636,,,West Bengal,96906000
