,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,StateName,statePopulation
0,Andaman and Nicobar Islands,7651,7518,129,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,495223,294087,201136,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,86,979,1065,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2066450,2047722,14373,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,53501739,33023907,20477832,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,47184,103060,150244,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Andhra Pradesh,52221000
2,Arunachal Pradesh,55155,54774,280,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,1312148,772889,539259,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,1014,4773,5787,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Arunachal Pradesh,1504000
3,Assam,610645,600974,5997,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,28405789,20200871,8204918,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,28801,136346,165147,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Assam,34293000
4,Bihar,726098,716390,9661,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,68425723,49950224,18475499,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,78753,132031,210784,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Bihar,119520000
5,Chandigarh,65351,64495,820,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,1475440,926358,549082,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,323,2101,2424,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Chandigarh,1179000
6,Chhattisgarh,1006052,992159,13577,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,22228462,14861819,7366643,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,11692,24803,36495,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,10682,10674,4,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,1033573,661180,372393,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,427,2140,2567,1,30,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1439870,1414431,25091,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,20529474,13073963,7455511,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,18336,30132,48468,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Delhi,19814000
9,Goa,178108,174392,3364,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,2179736,1263408,916328,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,850,5246,6096,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Goa,1540000
10,Gujarat,826577,816283,10089,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,70979106,44768436,26210670,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,33310,239301,272611,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Gujarat,67936000
11,Haryana,771252,761068,10049,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,25915026,17780782,8134244,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,8743,19443,28186,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Haryana,28672000
12,Himachal Pradesh,224106,218410,3754,2021-10-31,TT,34285814,458437,33668560,2021-11-01 12:20:33.858465,609201294,2021-10-31 00:00:00,881379,1067654329,735580368,332073961,9199375,5716126,3483249,https://www.icmr.gov.in/,415,557,7378,2566268,333721022,4213329,2431,39471,41902,0,0,16,4887811.285714285,4798506.142857143,65013.42857142857,5109377035,2263018536,7372395571,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,Himachal Pradesh,7300000
