,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinatedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
0,2021-11-01,IN,Andaman and Nicobar Islands,,,,7651,129,7518,,,2021-11-01 13:02:55.831054,,,,34285814,458437,33668560,609201294,1063124205
1,2021-11-01,IN,Andhra Pradesh,,,,2066450,14373,2047722,,,2021-11-01 13:02:55.831054,,,,34285814,458437,33668560,609201294,1063124205
2,2021-11-01,IN,Arunachal Pradesh,,,,55155,280,54774,,,2021-11-01 13:02:55.831054,,,,34285814,458437,33668560,609201294,1063124205
3,2021-11-01,IN,Assam,,,,610645,5997,600974,,,2021-11-01 13:02:55.831054,,,,34285814,458437,33668560,609201294,1063124205
4,2021-11-01,IN,Bihar,,,,726098,9661,716390,,,2021-11-01 13:02:55.831054,,,,34285814,458437,33668560,609201294,1063124205
5,2021-11-01,IN,Chandigarh,,,,65351,820,64495,,,2021-11-01 13:02:55.831054,,,,34285814,458437,33668560,609201294,1063124205
6,2021-11-01,IN,Chhattisgarh,,,,1006052,13577,992159,,,2021-11-01 13:02:55.831054,,,,34285814,458437,33668560,609201294,1063124205
7,2021-11-01,IN,Dadra and Nagar Haveli and Daman and Diu,,,,10682,4,10674,,,2021-11-01 13:02:55.831054,,,,34285814,458437,33668560,609201294,1063124205
8,2021-11-01,IN,Delhi,,,,1439870,25091,1414431,,,2021-11-01 13:02:55.831054,,,,34285814,458437,33668560,609201294,1063124205
9,2021-11-01,IN,Goa,,,,178108,3364,174392,,,2021-11-01 13:02:55.831054,,,,34285814,458437,33668560,609201294,1063124205
10,2021-11-01,IN,Gujarat,,,,826577,10089,816283,,,2021-11-01 13:02:55.831054,,,,34285814,458437,33668560,609201294,1063124205
11,2021-11-01,IN,Haryana,,,,771252,10049,761068,,,2021-11-01 13:02:55.831054,,,,34285814,458437,33668560,609201294,1063124205
12,2021-11-01,IN,Himachal Pradesh,,,,224106,3754,218410,,,2021-11-01 13:02:55.831054,,,,34285814,458437,33668560,609201294,1063124205
13,2021-11-01,IN,Jammu and Kashmir,,,,332249,4432,326915,,,2021-11-01 13:02:55.831054,,,,34285814,458437,33668560,609201294,1063124205
14,2021-11-01,IN,Jharkhand,,,,348764,5138,343518,,,2021-11-01 13:02:55.831054,,,,34285814,458437,33668560,609201294,1063124205
