"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20234","19955","12","267"
"2","Chengalpattu","252008","249022","327","2659"
"3","Chennai","789277","777862","2346","9069"
"4","Coimbatore","339959","336876","465","2618"
"5","Cuddalore","75763","74799","68","896"
"6","Dharmapuri","36799","36504","12","283"
"7","Dindigul","38908","38173","70","665"
"8","Erode","136070","135144","192","734"
"9","Kallakurichi","36921","36702","4","215"
"10","Kancheepuram","97956","96612","41","1303"
"11","Kanyakumari","89699","88426","188","1085"
"12","Karur","30231","29829","30","372"
"13","Krishnagiri","62035","61534","129","372"
"14","Madurai","92998","91695","67","1236"
"15","Mayiladuthurai","27340","26956","54","330"
"16","Nagapattinam","25961","25575","11","375"
"17","Namakkal","69674","69082","58","534"
"18","Nilgiris","42802","42545","31","226"
"19","Perambalur","14898","14620","29","249"
"20","Pudukottai","35212","34753","33","426"
"21","Ramanathapuram","24992","24612","12","368"
"22","Ranipet","56286","55472","27","787"
"23","Salem","131356","129444","148","1764"
"24","Sivagangai","25056","24787","50","219"
"25","Tenkasi","33857","33351","16","490"
"26","Thanjavur","93451","92383","27","1041"
"27","Theni","51816","51269","14","533"
"28","Thirupathur","36079","35429","17","633"
"29","Thiruvallur","153083","151099","44","1940"
"30","Thiruvannamalai","68267","67568","14","685"
"31","Thiruvarur","48958","48471","14","473"
"32","Thoothukudi","67128","66631","49","448"
"33","Tirunelveli","65851","65303","103","445"
"34","Tiruppur","131937","130790","95","1052"
"35","Trichy","97888","96646","81","1161"
"36","Vellore","58071","56868","40","1163"
"37","Villupuram","56218","55836","15","367"
"38","Virudhunagar","59287","58673","59","555"
"39","Airport Surveillance 
(International)","1392","1388","3","1"
"40","Airport Surveillance 
(Domestic)","1166","1165","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,77,312","35,34,277","4,995","38,040"
