"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","165","39315","394","36935","2032","2","348","0"
"2","Ballari","437","112167","1315","105583","4871","1","1713","0"
"3","Belagavi","1081","92798","1118","85076","6746","1","976","0"
"4","Bengaluru Rural","117","77994","2146","74887","2204","0","903","0"
"5","Bengaluru Urban","6685","1727575","35589","1605847","105125","9","16602","1"
"6","Bidar","115","28980","257","27876","692","1","408","4"
"7","Chamarajanagara","87","41719","1118","37774","3419","0","515","11"
"8","Chikkaballapura","126","54241","1374","50525","3268","1","447","1"
"9","Chikkamagaluru","154","56326","253","54324","1602","0","400","0"
"10","Chitradurga","252","43939","238","41326","2392","0","221","0"
"11","Dakshina 
Kannada","322","132859","731","127557","3538","7","1757","7"
"12","Davanagere","126","56668","123","54464","1591","2","613","0"
"13","Dharwada","633","80907","1122","73636","5935","1","1334","2"
"14","Gadag","73","29877","360","28355","1193","1","329","0"
"15","Hassana","337","140466","1700","133860","5311","2","1293","2"
"16","Haveri","130","25185","264","23159","1374","0","652","0"
"17","Kalaburagi","135","74458","917","69600","4000","2","858","0"
"18","Kodagu","205","46073","738","42503","3226","0","343","1"
"19","Kolara","169","61609","1494","58774","2186","2","649","0"
"20","Koppala","99","40059","351","37895","1633","1","531","0"
"21","Mandya","211","98665","1609","94072","3915","5","678","0"
"22","Mysuru","777","222747","2766","211856","8390","7","2501","0"
"23","Raichuru","38","44413","178","42720","1345","2","348","0"
"24","Ramanagara","58","29122","215","27774","1008","2","340","0"
"25","Shivamogga","325","79274","1056","74884","3281","3","1108","1"
"26","Tumakuru","573","155142","1393","145657","8312","1","1173","0"
"27","Udupi","230","93252","984","89025","3714","4","513","0"
"28","Uttara Kannada","551","68632","797","64597","3242","0","793","0"
"29","Vijayapura","81","39771","170","38250","1020","1","501","0"
"30","Yadagiri","74","29564","144","28198","1160","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","14366","3823833","60914","3587022","197725","58","39056","30"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 01-02-2022 
 Page 5 of 121","","","","","","","","",""
