"S. No.","District","Total Confirmed 
Cases","Total Active 
Cases","Total Cured","Deaths"
"1","Ludhiana","87640","20","85512","2108"
"2","SAS Nagar","68885","50","67765","1070"
"3","Jalandhar","63446","39","61911","1496"
"4","Patiala","48942","10","47574","1358"
"5","Amritsar","47409","4","45807","1598"
"6","Bathinda","41754","23","40689","1042"
"7","Hoshiarpur","30863","27","29847","989"
"8","Gurdaspur","22390","6","21583","801"
"9","Fazilka","20278","5","19744","529"
"10","Pathankot","18872","44","18405","423"
"11","Muktsar","18785","2","18259","524"
"12","Kapurthala","17863","9","17298","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15608","2","15226","380"
"15","Ferozepur","14374","20","13850","504"
"16","Faridkot","13937","8","13613","316"
"17","Ropar","12976","8","12544","424"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8887","6","8546","335"
"20","Moga","8679","2","8444","233"
"21","Tarn Taran","8051","6","7665","380"
"22","Barnala","5954","8","5702","244"
"","Total","602833","302","585958","16573"
