"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87698","33","85551","2114"
"2","SAS Nagar","69028","72","67883","1073"
"3","Jalandhar","63530","30","62000","1500"
"4","Patiala","48995","19","47614","1362"
"5","Amritsar","47437","2","45836","1599"
"6","Bathinda","41808","30","40731","1047"
"7","Hoshiarpur","30975","55","29926","994"
"8","Gurdaspur","22410","6","21601","803"
"9","Fazilka","20282","0","19752","530"
"10","Pathankot","18974","18","18527","429"
"11","Muktsar","18804","3","18277","524"
"12","Kapurthala","17873","5","17312","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15611","1","15229","381"
"15","Ferozepur","14468","77","13887","504"
"16","Faridkot","13951","6","13626","319"
"17","Ropar","12997","13","12559","425"
"18","SBS Nagar","11474","2","11084","388"
"19","FG Sahib","8906","2","8568","336"
"20","Moga","8684","0","8450","234"
"21","Tarn Taran","8069","6","7682","381"
"22","Barnala","5955","6","5705","244"
"","Total","603697","389","586690","16618"
