,District,CumulativeConfirmedforDistrict,CumulativeRecoveredforDistrict,CumulativeDeceasedforDistrict,CumulativeTestedforDistrict,DeltaTestedforDistrict,CumulativeConfirmedforState,CumulativeRecoveredforState,CumulativeDeceasedforState,CumulativeTestedforState,DeltaConfirmedforState,DeltaRecoveredforState,DeltaDeceasedforState,DeltaTestedforState,DeltaConfirmedforDistrict,DeltaRecoveredforDistrict,DeltaDeceasedforDistrict,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated1ForState,deltaVaccinated2ForState,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,Date,State/UTCode
0,Andaman and Nicobar Islands,7651,7518,129,598033.0,1376.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,0,0,0,733933307,329507693,761452,957422,294001,200157,3,36,2021-10-31,TT
1,Andhra Pradesh,2066450,2047722,14373,29518787.0,39848.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,385,675,4,733933307,329507693,761452,957422,32976723,20374772,21191,24704,2021-10-31,TT
2,Arunachal Pradesh,55155,54774,280,1185436.0,334.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,1,9,0,733933307,329507693,761452,957422,771875,534486,42,195,2021-10-31,TT
3,Assam,610645,600974,5997,24712042.0,15060.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,212,236,1,733933307,329507693,761452,957422,20172070,8068572,19528,37629,2021-10-31,TT
4,Bihar,726098,716390,9661,50531824.0,226443.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,8,9,0,733933307,329507693,761452,957422,49871471,18343468,117767,151374,2021-10-31,TT
5,Chandigarh,65351,64495,820,792851.0,1403.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,5,3,0,733933307,329507693,761452,957422,926035,546981,211,1282,2021-10-31,TT
6,Chhattisgarh,1006052,992159,13577,13709510.0,11869.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,32,32,1,733933307,329507693,761452,957422,14850127,7341840,21842,39937,2021-10-31,TT
7,Delhi,1439870,1414431,25091,29427753.0,56751.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,45,46,0,733933307,329507693,761452,957422,13055627,7425379,12463,11825,2021-10-31,TT
8,Dadra and Nagar Haveli and Daman and Diu,10681,10644,4,72410.0,0.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,0,1,0,733933307,329507693,761452,957422,660753,370253,3,18,2021-10-31,TT
9,Goa,178108,174392,3364,1468399.0,2361.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,23,53,0,733933307,329507693,761452,957422,1262558,911082,2562,12372,2021-10-31,TT
10,Gujarat,826577,816283,10089,30928063.0,34282.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,20,23,0,733933307,329507693,761452,957422,44735126,25971369,14756,62658,2021-10-31,TT
11,Himachal Pradesh,224106,218410,3738,3685011.0,3613.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,85,198,1,733933307,329507693,761452,957422,5713695,3443778,382,8170,2021-10-31,TT
12,Haryana,771252,761068,10049,13032504.0,20588.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,11,10,0,733933307,329507693,761452,957422,17772039,8114801,8476,15797,2021-10-31,TT
