District,Recovered,Deceased,Active
गौतम बिु नगर,98051,490,70
लखनऊ,293959,2694,36
गाज़ियाबाद,84381,473,22
सलु्तानपरु,16849,144,19
बाराबकंी,23680,225,17
अमठेी,11492,145,13
अम्बडेकर नगर,5948,167,11
अमरोहा,19286,207,10
फरु्रखाबाद,11877,197,10
हरदोई,17270,370,9
कुशीनगर,16226,235,9
लखीमपरु-खीरी,30009,299,9
मरेठ,88066,931,9
गोरखपरु,65949,866,8
गोंडा,14130,285,7
मथरुा,25583,406,7
बलरामपरु,8115,139,6
राय बरेली,21322,348,6
आगरा,35703,465,5
बरेली,50094,377,5
चित्रकूट,7762,79,5
इटावा,15775,296,5
कन्नौज,10824,126,5
मनैपरुी,11478,189,5
बागपत,11059,143,4
जालौन,13853,209,4
झासी,43886,675,4
लललतपरु,14747,134,4
महाराजगजं,14709,146,4
प्रयागराज,87355,1112,4
िाराणसी,97562,988,4
बबजनौर,18286,139,3
जौनपरु,24370,244,3
सीतापरु,15759,187,3
उन्नाव,16907,257,3
बदाय,17911,101,2
बहराइि,13411,178,2
बलुदंशहर,26331,253,2
देवररया,22402,230,2
कानपरु नगर,91509,1923,2
श्रावस्ती,5233,42,2
लसद्धाथ ुनगर,11524,102,2
सोनभद्र,18654,257,2
