District,Recovered,Deceased,Active
लखनऊ,245783,2654,16943
गौतम बिु नगर,75013,469,9503
गाज़ियाबाद,66259,462,8406
मरेठ,75676,909,6243
िाराणसी,87104,971,3952
आगरा,28196,459,3242
कानपरु नगर,82526,1908,2993
प्रयागराज,79034,1091,2771
मरुादाबाद,41199,352,2466
गोरखपरु,59872,850,2313
मजुफ्फरनगर,32435,271,2137
बलुदंशहर,21173,246,2122
सहारनपरु,33590,420,2061
झासी,36649,663,1890
बरेली,44734,377,1841
मथरुा,21803,403,1812
अलीगढ,22312,111,1369
रामपरु,12250,148,1354
बाराबकंी,20194,225,1053
लखीमपरु-खीरी,24316,294,1012
हरदोई,13689,353,1007
हापड़ु,12838,217,954
शामली,13706,46,945
बबजनौर,15214,126,943
शाहजहांपरु,20288,444,841
बदाय,15076,101,785
अमरोहा,16871,203,680
बागपत,9538,142,657
राय बरेली,17162,343,653
मनैपरुी,10179,183,649
अयोध्या,17121,290,618
क्रिरोजाबाद,9000,135,614
सलु्तानपरु,14884,139,597
गाजीपरु,21708,285,595
एटा,10092,99,558
चदंौली,16133,358,534
बस्ती,11559,331,529
इटावा,13819,295,512
सोनभद्र,16840,252,506
गोंडा,12213,272,502
अमठेी,9904,143,465
सिद्धार्,9422,100,446
सीतापरु,12458,185,443
