"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 20-05-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","180","727","272783","271049[212]","99.36","1007","1112","2821","2805","5309966"
"2","Faridabad","45","312","129453","128400[65]","99.19","741","321","1145","934","4017182"
"3  Hisar","","3","7","62102","60920","98.10","1175","87","465","212","2335747"
"4","Sonipat","3","8","58703","58419[1]","99.52","276","553","538","317","2275979"
"5","Karnal","2","9","48243","47638","98.75","596","482","625","306","2380915"
"6","Panchkula","7","22","44290","43854[10]","99.02","414","404","640","567","1111060"
"7","Ambala","1","13","40803","40248","98.64","542","646","497","878","2120207"
"8","Panipat","7","19","36103","35412[1]","98.09","672","163","317","219","2043888"
"9","Sirsa","1","4","33394","32851","98.37","539","247","289","102","1925469"
"10  Rohtak","","2","25","31956","31377","98.19","537","98","320","241","1689126"
"","11  Yamunanagar","0","3","30685","30227[2]","98.51","455","120","1297","277","1936429"
"12  Kurukshetra","","0","4","26856","26454[2]","98.50","398","365","826","462","1538979"
"13  Bhiwani","","4","9","26520","25846","97.46","665","1150","797","598","1760092"
"","14  Mahendragarh","0","0","24754","24589","99.33","165","136","377","253","1372070"
"15  Rewari","","0","6","24620","24390[2]","99.07","224","239","358","396","1557754"
"16","Jind","0","0","24355","23813","97.77","542","299","710","87","1709984"
"17","Jhajjar","0","0","23483","23127","98.48","350","321","380","330","1570822"
"18  Fatehabad","","1","4","20070","19568","97.50","498","29","79","71","1191516"
"19  Kaithal","","0","1","14241","13869","97.39","371","540","1293","804","1747167"
"20  Palwal","","1","7","13499","13322[2]","98.69","170","857","800","88","1527585"
"","21  Charkhi Dadri","5","9","7451","7297","97.93","145","42","238","1000","888346"
"22  Nuh","","0","1","6112","5972","97.71","139","3","13","39","1221080"
"Haryana","","262","1190","1000476","988642[297]","98.82","10621","8214","14825","10986","43231363"
