"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 02-06-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","144","546","274696","273143 [125] ↑","99.43%","1007","67","142","773","5361445"
"2","Faridabad","22","164","129856","128951 [34] ↑","99.30%","741","92","518","355","4043397"
"3  Hisar","","5","29","62157","60953 [4] ↑","98.06%","1175","6","23","18","2348388"
"4","Sonipat","4","7","58716","58433","99.52%","276","42","116","103","2288051"
"5","Karnal","0","5","48264","47663 [6] ↑","98.75%","596","8","60","49","2390197"
"6","Panchkula","7","23","44356","43919 [5] ↑","99.01%","414","8","24","102","1121230"
"7","Ambala","1","7","40813","40264 [1] ↑","98.65%","542","17","83","108","2134356"
"8","Panipat","0","3","36113","35438","98.13%","672","61","117","144","2053870"
"9","Sirsa","0","5","33413","32869 [1] ↑","98.37%","539","70","38","27","1934570"
"10  Rohtak","","3","18","31986","31414 [2] ↑","98.21%","537","8","25","49","1697613"
"","11  Yamunanagar","0","3","30691","30233 [1] ↑","98.51%","455","33","225","86","1955550"
"12  Kurukshetra","","0","4","26862","26460","98.50%","398","1","9","6","1554044"
"13  Bhiwani","","0","8","26537","25864","97.46%","665","50","188","57","1770220"
"","14  Mahendragarh","0","0","24754","24589","99.33%","165","0","2","5","1378721"
"15  Rewari","","0","2","24633","24407","99.08%","224","0","11","11","1565307"
"16","Jind","0","0","24359","23817","97.77%","542","24","18","16","1716664"
"17","Jhajjar","2","6","23513","23151 [1] ↑","98.46%","350","33","48","63","1576607"
"18  Fatehabad","","0","2","20073","19573","97.51%","498","0","0","0","1192920"
"19  Kaithal","","0","1","14245","13873","97.39%","371","20","62","78","1763247"
"20  Palwal","","0","2","13506","13334","98.73%","170","8","28","28","1537452"
"","21  Charkhi Dadri","0","1","7457","7311 [1] ↑","98.04%","145","1","1","22","895127"
"22  Nuh","","0","1","6116","5976 [3] ↑","97.71%","139","0","2","0","1221650"
"HARYANA","","188","837","1003116","991635 [184] ↑","98.86%","10621","549","1740","2100","43500626"
