"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87634","24","85502","2108"
"2","SAS Nagar","68871","47","67754","1070"
"3","Jalandhar","63430","39","61895","1496"
"4","Patiala","48941","13","47570","1358"
"5","Amritsar","47402","7","45797","1598"
"6","Bathinda","41746","18","40686","1042"
"7","Hoshiarpur","30847","18","29842","987"
"8","Gurdaspur","22387","6","21580","801"
"9","Fazilka","20277","5","19743","529"
"10","Pathankot","18846","26","18397","423"
"11","Muktsar","18785","2","18259","524"
"12","Kapurthala","17855","4","17295","556"
"13","Sangrur","15768","5","14888","875"
"14","Mansa","15608","2","15226","380"
"15","Ferozepur","14361","17","13840","504"
"16","Faridkot","13930","3","13612","315"
"17","Ropar","12972","7","12541","424"
"18","SBS Nagar","11472","2","11082","388"
"19","FG Sahib","8883","7","8541","335"
"20","Moga","8677","0","8444","233"
"21","Tarn Taran","8049","6","7663","380"
"22","Barnala","5954","8","5702","244"
"","Total","602695","266","585859","16570"
