"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","1756","112232","1394","108883","21","3000","349"
"2","SAS Nagar","2886","98575","2194","96727","11","1159","689"
"3","Jalandhar","1210","79475","833","77171","6","1946","358"
"4","Patiala","1120","63200","849","61232","3","1714","254"
"5","Amritsar","562","60117","400","58108","2","1842","167"
"6","Bathinda","721","51588","516","49959","1","1424","205"
"7","Hoshiarpur","364","41506","231","39963","4","1404","139"
"8","Gurdaspur","171","27098","129","26202","2","866","30"
"9","Pathankot","308","24817","207","24222","0","517","78"
"10","Fazilka","212","23645","168","22971","0","621","53"
"11","Muktsar","98","22650","69","22079","0","539","32"
"12","Kapurthala","212","22241","156","21598","1","593","50"
"13","Ropar","371","18309","267","17750","1","456","103"
"14","Ferozepur","194","18087","159","17519","2","539","29"
"15","Mansa","130","17355","108","16944","1","393","18"
"16","Faridkot","205","17040","185","16606","3","413","21"
"17","Sangrur","164","14598","111","13684","2","862","52"
"18","SBS Nagar","162","13564","134","13122","0","409","33"
"19","FG Sahib","340","12255","258","11738","1","437","80"
"20","Moga","67","11066","46","10777","2","268","21"
"21","Tarn Taran","55","10955","34","10539","0","398","18"
"22","Barnala","84","7584","79","7217","0","357","10"
"23","Malerkotla","36","4040","31","3822","1","213","5"
"","Total","11428","771997","8558","748833","64","20370","2794"
