"COVID-19 DISTRICT WISE STATUS, MEGHALAYA","","","","","","",""
"District Name","Active 
Cases","New 
Cases","New 
Recoveries","New 
Deaths","Total Cases","Total 
Recoveries","Total 
Deaths"
"East Garo Hills","11","2","0","0","1867","1843","13"
"East Jaintia Hills","4","0","1","0","2430","2395","31"
"East Khasi Hills","289","34","36","0","41011","39736","986"
"North Garo Hills","2","1","0","0","1684","1674","8"
"Ri-Bhoi","26","3","3","0","9696","9581","89"
"South Garo Hills","1","0","0","0","1216","1203","12"
"South West Garo Hills","4","0","1","0","1872","1851","17"
"South West Khasi Hills","6","0","0","0","2548","2525","17"
"West Garo Hills","10","0","0","0","9024","8942","72"
"West Jaintia Hills","27","0","3","0","6802","6642","133"
"West Khasi Hills","81","6","23","0","5455","5303","71"
"Total","461","46","67","0","83605","81695","1449"
