"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","1350","111826","1070","108559","20","2999","268"
"2","SAS Nagar","2200","97889","1676","96209","11","1159","521"
"3","Jalandhar","772","79037","501","76839","4","1944","254"
"4","Patiala","823","62903","649","61032","1","1712","159"
"5","Amritsar","398","59953","312","58020","2","1842","91"
"6","Bathinda","540","51407","350","49793","1","1424","190"
"7","Hoshiarpur","217","41359","174","39906","4","1404","49"
"8","Gurdaspur","125","27054","84","26157","2","866","31"
"9","Pathankot","231","24746","163","24178","0","517","51"
"10","Fazilka","156","23590","141","22944","0","621","25"
"11","Muktsar","66","22618","57","22067","0","539","12"
"12","Kapurthala","162","22191","127","21569","1","593","29"
"13","Ropar","268","18206","179","17662","1","456","88"
"14","Ferozepur","153","18052","125","17485","2","539","28"
"15","Mansa","103","17328","86","16922","1","393","13"
"16","Faridkot","182","17017","159","16580","2","412","25"
"17","Sangrur","92","14526","71","13644","1","861","21"
"18","SBS Nagar","117","13519","96","13084","0","409","26"
"19","FG Sahib","240","12155","184","11664","1","437","54"
"20","Moga","43","11042","38","10769","2","268","5"
"21","Tarn Taran","38","10938","26","10531","0","398","9"
"22","Barnala","73","7573","65","7203","0","357","13"
"23","Malerkotla","26","4030","21","3812","1","213","5"
"","Total","8375","768959","6354","746629","57","20363","1967"
