,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict,deltaVaccinated3ForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2022-01-14,TG,2398,3,1181,0,17411,43798,1485,15448.0,13.0,3620.0,,530365.0,833483.0,Adilabad,,,,,264,2655,,,,,,8016.0,38979.0,708952,,,,,,,,558952,382667,0,2022-01-15 12:11:31.337075,37220000,,,,705199,4052,679471,,29407672,20723406,0,0.0,0,0,0,0
1,1,1,1,1,2022-01-14,TG,2398,3,1181,0,17411,43798,1485,15448.0,13.0,3620.0,,530365.0,833483.0,Bhadradri Kothagudem,,,,,483,2740,,,,,,13941.0,40342.0,1304811,,,,,,,,857684,608699,0,2022-01-15 12:11:31.337075,37220000,,,,705199,4052,679471,,29407672,20723406,0,0.0,0,0,0,0
2,2,2,2,2,2022-01-14,TG,2398,3,1181,0,17411,43798,1485,15448.0,13.0,3620.0,,530365.0,833483.0,Foreign Evacuees,,,,,0,0,,,,,,0.0,0.0,0,,,,,,,,0,0,0,2022-01-15 12:11:31.337075,37220000,,,,705199,4052,679471,,29407672,20723406,0,0.0,0,0,0,0
3,3,3,3,3,2022-01-14,TG,2398,3,1181,0,17411,43798,1485,15448.0,13.0,3620.0,,530365.0,833483.0,Hyderabad,,,,,1390,2352,,,,,,65633.0,41666.0,3441992,,,,,,,,3672089,2630140,0,2022-01-15 12:11:31.337075,37220000,,,,705199,4052,679471,,29407672,20723406,0,0.0,0,0,0,0
4,4,4,4,4,2022-01-14,TG,2398,3,1181,0,17411,43798,1485,15448.0,13.0,3620.0,,530365.0,833483.0,Jagtial,,,,,165,103,,,,,,11013.0,18700.0,983414,,,,,,,,785448,546200,0,2022-01-15 12:11:31.337075,37220000,,,,705199,4052,679471,,29407672,20723406,0,0.0,0,0,0,0
5,5,5,5,5,2022-01-14,TG,2398,3,1181,0,17411,43798,1485,15448.0,13.0,3620.0,,530365.0,833483.0,Jangaon,,,,,149,100,,,,,,7566.0,7566.0,582457,,,,,,,,433593,332642,0,2022-01-15 12:11:31.337075,37220000,,,,705199,4052,679471,,29407672,20723406,0,0.0,0,0,0,0
6,6,6,6,6,2022-01-14,TG,2398,3,1181,0,17411,43798,1485,15448.0,13.0,3620.0,,530365.0,833483.0,Jayashankar Bhupalapally,,,,,3,5,,,,,,2346.0,7555.0,712257,,,,,,,,339304,260684,0,2022-01-15 12:11:31.337075,37220000,,,,705199,4052,679471,,29407672,20723406,0,0.0,0,0,0,0
7,7,7,7,7,2022-01-14,TG,2398,3,1181,0,17411,43798,1485,15448.0,13.0,3620.0,,530365.0,833483.0,Jogulamba Gadwal,,,,,611,823,,,,,,10149.0,18666.0,664971,,,,,,,,475504,297175,0,2022-01-15 12:11:31.337075,37220000,,,,705199,4052,679471,,29407672,20723406,0,0.0,0,0,0,0
8,8,8,8,8,2022-01-14,TG,2398,3,1181,0,17411,43798,1485,15448.0,13.0,3620.0,,530365.0,833483.0,Kamareddy,,,,,1563,963,,,,,,13537.0,17840.0,972625,,,,,,,,665080,475257,0,2022-01-15 12:11:31.337075,37220000,,,,705199,4052,679471,,29407672,20723406,0,0.0,0,0,0,0
9,9,9,9,9,2022-01-14,TG,2398,3,1181,0,17411,43798,1485,15448.0,13.0,3620.0,,530365.0,833483.0,Karimnagar,,,,,197,513,,,,,,17386.0,14865.0,1016063,,,,,,,,845253,756104,0,2022-01-15 12:11:31.337075,37220000,,,,705199,4052,679471,,29407672,20723406,0,0.0,0,0,0,0
