,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict,deltaVaccinated3ForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2022-01-14,MP,4755,0,1020,0,144527,27268,352,21513.0,7.0,3751.0,,1247671.0,223997.0,Agar Malwa,,,,,270,40,,,,,,10623.0,664.0,0,,,,,,,,472639,443134,0,2022-01-15 12:11:31.337075,82232000,,,,819228,10543,787298,,55962226,50744183,0,0.0,0,0,0,0
1,1,1,1,1,2022-01-14,MP,4755,0,1020,0,144527,27268,352,21513.0,7.0,3751.0,,1247671.0,223997.0,Alirajpur,,,,,7202,824,,,,,,28150.0,2362.0,728677,,,,,,,,455184,379069,0,2022-01-15 12:11:31.337075,82232000,,,,819228,10543,787298,,55962226,50744183,0,0.0,0,0,0,0
2,2,2,2,2,2022-01-14,MP,4755,0,1020,0,144527,27268,352,21513.0,7.0,3751.0,,1247671.0,223997.0,Anuppur,,,,,1190,191,,,,,,10500.0,1678.0,749521,,,,,,,,548981,493329,0,2022-01-15 12:11:31.337075,82232000,,,,819228,10543,787298,,55962226,50744183,0,0.0,0,0,0,0
3,3,3,3,3,2022-01-14,MP,4755,0,1020,0,144527,27268,352,21513.0,7.0,3751.0,,1247671.0,223997.0,Ashoknagar,,,,,679,107,,,,,,17667.0,1278.0,844979,,,,,,,,621813,552156,0,2022-01-15 12:11:31.337075,82232000,,,,819228,10543,787298,,55962226,50744183,0,0.0,0,0,0,0
4,4,4,4,4,2022-01-14,MP,4755,0,1020,0,144527,27268,352,21513.0,7.0,3751.0,,1247671.0,223997.0,Balaghat,,,,,1907,1295,,,,,,18070.0,11058.0,1701156,,,,,,,,1425733,1297788,0,2022-01-15 12:11:31.337075,82232000,,,,819228,10543,787298,,55962226,50744183,0,0.0,0,0,0,0
5,5,5,5,5,2022-01-14,MP,4755,0,1020,0,144527,27268,352,21513.0,7.0,3751.0,,1247671.0,223997.0,Barwani,,,,,2462,1220,,,,,,42380.0,3843.0,1385659,,,,,,,,903921,783469,0,2022-01-15 12:11:31.337075,82232000,,,,819228,10543,787298,,55962226,50744183,0,0.0,0,0,0,0
6,6,6,6,6,2022-01-14,MP,4755,0,1020,0,144527,27268,352,21513.0,7.0,3751.0,,1247671.0,223997.0,Betul,,,,,807,431,,,,,,13187.0,3642.0,1575247,,,,,,,,1172473,1065854,0,2022-01-15 12:11:31.337075,82232000,,,,819228,10543,787298,,55962226,50744183,0,0.0,0,0,0,0
7,7,7,7,7,2022-01-14,MP,4755,0,1020,0,144527,27268,352,21513.0,7.0,3751.0,,1247671.0,223997.0,Bhind,,,,,3658,108,,,,,,39075.0,1634.0,1703562,,,,,,,,1197798,1082201,0,2022-01-15 12:11:31.337075,82232000,,,,819228,10543,787298,,55962226,50744183,0,0.0,0,0,0,0
8,8,8,8,8,2022-01-14,MP,4755,0,1020,0,144527,27268,352,21513.0,7.0,3751.0,,1247671.0,223997.0,Bhopal,,,,,5092,1328,,,,,,50871.0,13593.0,2368145,,,,,,,,2236250,1929681,0,2022-01-15 12:11:31.337075,82232000,,,,819228,10543,787298,,55962226,50744183,0,0.0,0,0,0,0
9,9,9,9,9,2022-01-14,MP,4755,0,1020,0,144527,27268,352,21513.0,7.0,3751.0,,1247671.0,223997.0,Burhanpur,,,,,309,240,,,,,,10371.0,4986.0,756993,,,,,,,,570189,524327,0,2022-01-15 12:11:31.337075,82232000,,,,819228,10543,787298,,55962226,50744183,0,0.0,0,0,0,0
