,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict,deltaVaccinated3ForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2022-01-14,UP,15975,3,2554,0,1274763,1328503,767,77762.0,31.0,5618.0,,8180846.0,6775555.0,Agra,,,,,18262,10377,,,,,,161438.0,85902.0,4380793,,,,,,,,3162519,1811391,0,2022-01-15 12:11:31.337075,224979000,,,,1801231,22949,1693842,,141055562,84468799,0,0.0,0,0,0,0
1,1,1,1,1,2022-01-14,UP,15975,3,2554,0,1274763,1328503,767,77762.0,31.0,5618.0,,8180846.0,6775555.0,Aligarh,,,,,17702,14866,,,,,,106445.0,78907.0,3673849,,,,,,,,2553412,1452074,0,2022-01-15 12:11:31.337075,224979000,,,,1801231,22949,1693842,,141055562,84468799,0,0.0,0,0,0,0
2,2,2,2,2,2022-01-14,UP,15975,3,2554,0,1274763,1328503,767,77762.0,31.0,5618.0,,8180846.0,6775555.0,Ambedkar Nagar,,,,,9513,13496,,,,,,62253.0,61552.0,2398709,,,,,,,,1767142,980397,0,2022-01-15 12:11:31.337075,224979000,,,,1801231,22949,1693842,,141055562,84468799,0,0.0,0,0,0,0
3,3,3,3,3,2022-01-14,UP,15975,3,2554,0,1274763,1328503,767,77762.0,31.0,5618.0,,8180846.0,6775555.0,Amethi,,,,,10102,5696,,,,,,76857.0,42656.0,2549935,,,,,,,,1352901,866693,0,2022-01-15 12:11:31.337075,224979000,,,,1801231,22949,1693842,,141055562,84468799,0,0.0,0,0,0,0
4,4,4,4,4,2022-01-14,UP,15975,3,2554,0,1274763,1328503,767,77762.0,31.0,5618.0,,8180846.0,6775555.0,Amroha,,,,,9697,9326,,,,,,68158.0,59940.0,1838771,,,,,,,,1147686,714326,0,2022-01-15 12:11:31.337075,224979000,,,,1801231,22949,1693842,,141055562,84468799,0,0.0,0,0,0,0
5,5,5,5,5,2022-01-14,UP,15975,3,2554,0,1274763,1328503,767,77762.0,31.0,5618.0,,8180846.0,6775555.0,Auraiya,,,,,8074,4421,,,,,,83519.0,29043.0,1372287,,,,,,,,936802,499896,0,2022-01-15 12:11:31.337075,224979000,,,,1801231,22949,1693842,,141055562,84468799,0,0.0,0,0,0,0
6,6,6,6,6,2022-01-14,UP,15975,3,2554,0,1274763,1328503,767,77762.0,31.0,5618.0,,8180846.0,6775555.0,Ayodhya,,,,,8341,9516,,,,,,78001.0,56952.0,2468371,,,,,,,,1834307,1081591,0,2022-01-15 12:11:31.337075,224979000,,,,1801231,22949,1693842,,141055562,84468799,0,0.0,0,0,0,0
7,7,7,7,7,2022-01-14,UP,15975,3,2554,0,1274763,1328503,767,77762.0,31.0,5618.0,,8180846.0,6775555.0,Azamgarh,,,,,17997,25451,,,,,,152097.0,170435.0,4616509,,,,,,,,3663573,1977264,0,2022-01-15 12:11:31.337075,224979000,,,,1801231,22949,1693842,,141055562,84468799,0,0.0,0,0,0,0
8,8,8,8,8,2022-01-14,UP,15975,3,2554,0,1274763,1328503,767,77762.0,31.0,5618.0,,8180846.0,6775555.0,Baghpat,,,,,6523,4994,,,,,,50393.0,22198.0,1302156,,,,,,,,930044,686076,0,2022-01-15 12:11:31.337075,224979000,,,,1801231,22949,1693842,,141055562,84468799,0,0.0,0,0,0,0
9,9,9,9,9,2022-01-14,UP,15975,3,2554,0,1274763,1328503,767,77762.0,31.0,5618.0,,8180846.0,6775555.0,Bahraich,,,,,24373,24934,,,,,,136456.0,136872.0,2384239,,,,,,,,2413864,1489532,0,2022-01-15 12:11:31.337075,224979000,,,,1801231,22949,1693842,,141055562,84468799,0,0.0,0,0,0,0
