"COVID-19 DISTRICT WISE STATUS, MEGHALAYA","","","","","","",""
"District Name","Active 
Cases","New 
Cases","New 
Recoveries","New 
Deaths","Total Cases","Total 
Recoveries","Total 
Deaths"
"East Garo Hills","7","0","1","0","1877","1856","14"
"East Jaintia Hills","4","0","0","0","2438","2402","32"
"East Khasi Hills","203","6","18","0","41312","40117","992"
"North Garo Hills","0","0","0","0","1685","1677","8"
"Ri-Bhoi","15","1","1","0","9713","9608","90"
"South Garo Hills","1","0","0","0","1217","1204","12"
"South West Garo Hills","1","0","0","0","1873","1854","18"
"South West Khasi Hills","0","0","1","0","2549","2532","17"
"West Garo Hills","24","0","1","0","9055","8959","72"
"West Jaintia Hills","4","0","1","0","6809","6670","135"
"West Khasi Hills","18","0","3","0","5485","5395","72"
"Total","277","7","26","0","84013","82274","1462"
