"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","2293","1084960","1","19576"
"2","Thane","58","118518","0","2289"
"3","TMC","340","192466","1","2164"
"4","Navi Mumbai","319","169664","0","2090"
"5","KDMC","83","176779","0","2974"
"6","Ulhasnagar MC","11","26599","0","680"
"7","Bhivandi Nijampur MC","3","13172","0","496"
