,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-11-07,DL,Central Delhi,,,,,,,,2021-11-08 08:27:48.716612,,,,1440118,25091,1414662,29722115
1,1,2021-11-07,DL,East Delhi,,,,,,,,2021-11-08 08:27:48.716612,,,,1440118,25091,1414662,29722115
2,2,2021-11-07,DL,New Delhi,,,,,,,,2021-11-08 08:27:48.716612,,,,1440118,25091,1414662,29722115
3,3,2021-11-07,DL,North Delhi,,,,,,,,2021-11-08 08:27:48.716612,,,,1440118,25091,1414662,29722115
4,4,2021-11-07,DL,North East Delhi,,,,,,,,2021-11-08 08:27:48.716612,,,,1440118,25091,1414662,29722115
5,5,2021-11-07,DL,North West Delhi,,,,,,,,2021-11-08 08:27:48.716612,,,,1440118,25091,1414662,29722115
6,6,2021-11-07,DL,Shahdara,,,,,,,,2021-11-08 08:27:48.716612,,,,1440118,25091,1414662,29722115
7,7,2021-11-07,DL,South Delhi,,,,,,,,2021-11-08 08:27:48.716612,,,,1440118,25091,1414662,29722115
8,8,2021-11-07,DL,South East Delhi,,,,,,,,2021-11-08 08:27:48.716612,,,,1440118,25091,1414662,29722115
9,9,2021-11-07,DL,South West Delhi,,,,,,,,2021-11-08 08:27:48.716612,,,,1440118,25091,1414662,29722115
10,10,2021-11-07,DL,West Delhi,,,,,,,,2021-11-08 08:27:48.716612,,,,1440118,25091,1414662,29722115
11,11,2021-11-07,DL,Unknown,,,,1440118.0,25091.0,1414662.0,,2021-11-08 08:27:48.716612,,,,1440118,25091,1414662,29722115
