"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","108711","2059","104417","2235"
"2","SAS Nagar","94056","2905","90025","1126"
"3","Jalandhar","77292","1452","74282","1558"
"4","Patiala","61684","329","59912","1443"
"5","Amritsar","58739","1137","55937","1665"
"6","Bathinda","50268","1010","48182","1076"
"7","Hoshiarpur","40000","1145","37794","1061"
"8","Gurdaspur","26680","433","25391","856"
"9","Pathankot","24000","483","23049","468"
"10","Fazilka","22867","1115","21212","540"
"11","Muktsar","22219","476","21209","534"
"12","Kapurthala","21685","427","20691","567"
"13","Sangrur","18173","137","17134","902"
"14","Ropar","17634","449","16748","437"
"15","Ferozepur","17543","407","16614","522"
"16","Mansa","17149","160","16599","390"
"17","Faridkot","16408","418","15659","331"
"18","SBS Nagar","13361","199","12764","398"
"19","FG Sahib","11717","204","11160","353"
"20","Moga","10761","442","10069","250"
"21","Tarn Taran","10693","547","9757","389"
"22","Barnala","7351","136","6956","259"
"","Total","748991","16070","715561","17360"
