,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-12-15,DL,Central Delhi,,,,,,,,2021-12-16 12:46:34.750834,,,,1441850,25100,1416322,31762605
1,1,2021-12-15,DL,East Delhi,,,,,,,,2021-12-16 12:46:34.750834,,,,1441850,25100,1416322,31762605
2,2,2021-12-15,DL,New Delhi,,,,,,,,2021-12-16 12:46:34.750834,,,,1441850,25100,1416322,31762605
3,3,2021-12-15,DL,North Delhi,,,,,,,,2021-12-16 12:46:34.750834,,,,1441850,25100,1416322,31762605
4,4,2021-12-15,DL,North East Delhi,,,,,,,,2021-12-16 12:46:34.750834,,,,1441850,25100,1416322,31762605
5,5,2021-12-15,DL,North West Delhi,,,,,,,,2021-12-16 12:46:34.750834,,,,1441850,25100,1416322,31762605
6,6,2021-12-15,DL,Shahdara,,,,,,,,2021-12-16 12:46:34.750834,,,,1441850,25100,1416322,31762605
7,7,2021-12-15,DL,South Delhi,,,,,,,,2021-12-16 12:46:34.750834,,,,1441850,25100,1416322,31762605
8,8,2021-12-15,DL,South East Delhi,,,,,,,,2021-12-16 12:46:34.750834,,,,1441850,25100,1416322,31762605
9,9,2021-12-15,DL,South West Delhi,,,,,,,,2021-12-16 12:46:34.750834,,,,1441850,25100,1416322,31762605
10,10,2021-12-15,DL,West Delhi,,,,,,,,2021-12-16 12:46:34.750834,,,,1441850,25100,1416322,31762605
11,11,2021-12-15,DL,Unknown,,,,1441850.0,25100.0,1416322.0,,2021-12-16 12:46:34.750834,,,,1441850,25100,1416322,31762605
