"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)","","",""
"","","","","","","","","Coverage of Vaccination  
on 16-02-2022","","","Cumulativ
e Coverage 
of 
Vaccinatio"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","217","1493","256651","254171[381]","99.03","987","916","4498","479","4909790"
"2","Faridabad","53","549","126293","125005[115]","98.98","739","1277","4017","397","3736957"
"3","Hisar","31","181","61541","60192[86]","97.81","1168[2]","183","625","17","2214443"
"4","Sonepat","20","135","58218","57808[43]","99.30","275","187","911","140","2160906"
"5","Karnal","8","131","48015","47290[45]","98.49","594","175","672","65","2233706"
"6","Panipat","10","103","36004","35242[12]","97.88","659","415","1421","64","1916296"
"7","Panchkula","27","129","43910","43369[45]","98.77","412","86","423","155","1048354"
"8","Ambala","20","284","40617","39792[33]","97.97","541","126","542","49","1996536"
"9","Sirsa","18","62","33236","32642[29]","98.21","532[1]","98","311","14","1842907"
"10","Rohtak","22","255","31587","30781[12]","97.45","534","129","734","32","1571225"
"11","Yamunanagar","23","281","30400","29665[43]","97.58","454","69","896","35","1794454"
"12","Bhiwani","51","293","26269","25314[65]","96.36","662","104","462","101","1665334"
"13","Kurukshetra","9","120","26707","26198[31]","98.09","389[2]","830","712","45","1401097"
"14","Mahindergarh","14","100","24532","24271[39]","98.94","161","484","363","41","1301396"
"15","Jind","11","60","24269","23668[14]","97.52","541","237","939","7","1601466"
"16","Rewari","12","143","24426","24059[33]","98.50","224","144","796","77","1477231"
"17","Jhajjar","18","100","23114","22671[31]","98.08","337","201","1072","49","1495612"
"18","Fatehabad","7","51","19973","19425[11]","97.26","497","30","62","4","1165562"
"19","Kaithal","10","109","14161","13683[18]","96.62","369","108","1080","16","1612620"
"20","Palwal","103","208","12735","12374[95]","97.17","153","315","692","16","1426111"
"21","Charkhi Dadri","19","126","7226","6957[35]","96.28","143","28","174","3","827742"
"22","Nuh","0","24","6014","5857[11]","97.39","133","502","997","14","1180971"
"Haryana","","703","4937","975898","960434 [1227]","98.42","10504 [5]","6644","22281","1820","40580716"
