District,Recovered,Deceased,Active
लखनऊ,294850,2694,311
गौतम बिु नगर,102187,490,273
गाज़ियाबाद,86199,473,121
िाराणसी,97778,988,73
कानपरु नगर,91671,1923,49
झ सी,44030,675,29
जौनपरु,24423,244,27
प्रय गर ज,87527,1120,27
हरदोई,17353,375,21
आगरा,35999,465,19
र य बरेली,21406,348,18
बलुदंशहर,26424,254,17
हमीरपरु,6224,102,17
अमरोह,19298,208,16
श हजह परु,24434,446,16
सोनभद्र,18683,257,15
अलीगढ,25524,113,14
ब र बकी,23735,227,14
मथरु,25657,406,14
देवररय,22415,230,13
ज लौन,13904,209,13
मह र जगज,14801,146,13
मरेठ,88220,932,13
उन्न व,16950,257,13
बरेली,50121,377,12
चदौली,17575,380,12
कन्नौज,10871,126,12
लखीमपरु-खीरी,30054,300,10
सीत परु,15770,189,10
ब द,12151,169,9
इट व,15790,297,9
फरु्रख ब द,11884,197,9
फतहेपरु,8372,141,9
गोरखपरु,66005,866,9
लललतपरु,14903,134,9
मनैपरुी,11525,189,9
सलु्त नपरु,16896,144,8
अयोध्य,18698,293,7
पीलीभीत,12736,206,7
सहारनपरु,38396,428,7
चचत्रकूट,7803,79,6
गाजीपरु,23885,295,6
प्रतापगढ़,16765,163,6
